"DateTime","Average Block size [bytes]"
"2015-12-04 00:00:00",803.6234025559105
"2015-12-05 00:00:00",835.3669596484219
"2015-12-06 00:00:00",876.7820069204153
"2015-12-07 00:00:00",774.7205793602897
"2015-12-08 00:00:00",771.0154754632458
"2015-12-09 00:00:00",778.8728878648234
"2015-12-10 00:00:00",820.1415241057542
"2015-12-11 00:00:00",884.3399841959699
"2015-12-12 00:00:00",916.288219070134
"2015-12-13 00:00:00",844.6327651515152
"2015-12-14 00:00:00",1752.0964192838567
"2015-12-15 00:00:00",1834.3400394477317
"2015-12-16 00:00:00",1215.560016057808
"2015-12-17 00:00:00",1053.0719367588933
"2015-12-18 00:00:00",1057.0390438247011
"2015-12-19 00:00:00",1009.203056768559
"2015-12-20 00:00:00",1103.4143925611481
"2015-12-21 00:00:00",1171.588223472669
"2015-12-22 00:00:00",2045.151296549035
"2015-12-23 00:00:00",1543.8057511737088
"2015-12-24 00:00:00",1292.0693503387804
"2015-12-25 00:00:00",1041.7507874015748
"2015-12-26 00:00:00",1073.8059552358113
"2015-12-27 00:00:00",1575.2863690713432
"2015-12-28 00:00:00",1238.8886046053926
"2015-12-29 00:00:00",1199.6755671551898
"2015-12-30 00:00:00",1563.9047334924423
"2015-12-31 00:00:00",1057.3361111111112
"2016-01-01 00:00:00",884.5981576253838
"2016-01-02 00:00:00",953.5603532875368
"2016-01-03 00:00:00",955.0461628359953
"2016-01-04 00:00:00",981.3143642072214
"2016-01-05 00:00:00",1395.8281310963714
"2016-01-06 00:00:00",1552.5
"2016-01-07 00:00:00",1549.6729572375025
"2016-01-08 00:00:00",1079.7755023183927
"2016-01-09 00:00:00",1209.3857619141008
"2016-01-10 00:00:00",1043.7111721971332
"2016-01-11 00:00:00",1058.0789112982181
"2016-01-12 00:00:00",1093.8381338742392
"2016-01-13 00:00:00",1423.2459016393443
"2016-01-14 00:00:00",1061.897445972495
"2016-01-15 00:00:00",1006.2193154996066
"2016-01-16 00:00:00",967.3799048751487
"2016-01-17 00:00:00",886.5722795869738
"2016-01-18 00:00:00",1056.6766561514196
"2016-01-19 00:00:00",1106.7258648431214
"2016-01-20 00:00:00",958.949186184994
"2016-01-21 00:00:00",943.536772113641
"2016-01-22 00:00:00",1027.371679648492
"2016-01-23 00:00:00",905.7595373376623
"2016-01-24 00:00:00",992.8713235294117
"2016-01-25 00:00:00",1334.9119032985045
"2016-01-26 00:00:00",1228.3260869565217
"2016-01-27 00:00:00",1566.1380694360828
"2016-01-28 00:00:00",1424.1545760031627
"2016-01-29 00:00:00",1307.506524794218
"2016-01-30 00:00:00",1179.0801275662748
"2016-01-31 00:00:00",1135.3866995073893
"2016-02-01 00:00:00",1080.6939182452643
"2016-02-02 00:00:00",1077.2785065590313
"2016-02-03 00:00:00",1059.5804962492787
"2016-02-04 00:00:00",1086.6635717107863
"2016-02-05 00:00:00",1116.8517637732857
"2016-02-06 00:00:00",1677.5446160016043
"2016-02-07 00:00:00",1025.9807352073915
"2016-02-08 00:00:00",1033.5673437191876
"2016-02-09 00:00:00",1032.3430267062315
"2016-02-10 00:00:00",1106.378552711147
"2016-02-11 00:00:00",1279.6393703925085
"2016-02-12 00:00:00",1170.5340751043116
"2016-02-13 00:00:00",1222.0914981346946
"2016-02-14 00:00:00",1139.9569138276554
"2016-02-15 00:00:00",1126.8170854271357
"2016-02-16 00:00:00",1127.9303482587065
"2016-02-17 00:00:00",1265.1762404776612
"2016-02-18 00:00:00",1109.4748949789957
"2016-02-19 00:00:00",1156.661831909398
"2016-02-20 00:00:00",1046.282914274401
"2016-02-21 00:00:00",1050.743422354105
"2016-02-22 00:00:00",1090.2872819909858
"2016-02-23 00:00:00",1117.0579593479574
"2016-02-24 00:00:00",1108.8270033803938
"2016-02-25 00:00:00",1113.9760140405617
"2016-02-26 00:00:00",1288.8714144411474
"2016-02-27 00:00:00",1101.8922275641025
"2016-02-28 00:00:00",1091.1889043547426
"2016-02-29 00:00:00",1175.3846473029046
"2016-03-01 00:00:00",1156.5112826603327
"2016-03-02 00:00:00",1198.6116791191507
"2016-03-03 00:00:00",1248.445751894695
"2016-03-04 00:00:00",1249.1351621946335
"2016-03-05 00:00:00",1314.407940833009
"2016-03-06 00:00:00",1365.8176074994906
"2016-03-07 00:00:00",1217.7266215678471
"2016-03-08 00:00:00",1242.1289615307953
"2016-03-09 00:00:00",1279.4692323110844
"2016-03-10 00:00:00",1221.5444572748268
"2016-03-11 00:00:00",1210.995064165844
"2016-03-12 00:00:00",1384.6022297431814
"2016-03-13 00:00:00",1392.0977632086388
"2016-03-14 00:00:00",1501.314017227878
"2016-03-15 00:00:00",1317.722027094832
"2016-03-16 00:00:00",1316.425726141079
"2016-03-17 00:00:00",1421.2222952975994
"2016-03-18 00:00:00",1403.0640724589064
"2016-03-19 00:00:00",1494.0396251233146
"2016-03-20 00:00:00",1445.8357391737184
"2016-03-21 00:00:00",1497.7746079412746
"2016-03-22 00:00:00",1514.4617031790478
"2016-03-23 00:00:00",1529.4933043187145
"2016-03-24 00:00:00",1861.7372561875102
"2016-03-25 00:00:00",1621.2481041872734
"2016-03-26 00:00:00",1537.7796554552913
"2016-03-27 00:00:00",1260.761660602051
"2016-03-28 00:00:00",1567.6601100183364
"2016-03-29 00:00:00",1389.4712146422628
"2016-03-30 00:00:00",1572.471473457913
"2016-03-31 00:00:00",1405.3876432486297
"2016-04-01 00:00:00",1492.6359151455354
"2016-04-02 00:00:00",1234.9823113207547
"2016-04-03 00:00:00",1244.7133388566695
"2016-04-04 00:00:00",1502.0156095957936
"2016-04-05 00:00:00",1527.771755345599
"2016-04-06 00:00:00",1336.770986009327
"2016-04-07 00:00:00",1404.4117251805812
"2016-04-08 00:00:00",1540.8815142576204
"2016-04-09 00:00:00",1317.790493847969
"2016-04-10 00:00:00",1280.9213520197857
"2016-04-11 00:00:00",1261.8551456964797
"2016-04-12 00:00:00",1451.4586866167913
"2016-04-13 00:00:00",1477.3271820448879
"2016-04-14 00:00:00",1405.6078724464376
"2016-04-15 00:00:00",1412.2191780821918
"2016-04-16 00:00:00",1215.2877554411032
"2016-04-17 00:00:00",1917.3763923524523
"2016-04-18 00:00:00",1350.9483071841453
"2016-04-19 00:00:00",1317.1563075892109
"2016-04-20 00:00:00",1359.2161983471074
"2016-04-21 00:00:00",1504.175125208681
"2016-04-22 00:00:00",1290.769689935334
"2016-04-23 00:00:00",1270.2769790117336
"2016-04-24 00:00:00",1433.0178899849523
"2016-04-25 00:00:00",1398.7026539973788
"2016-04-26 00:00:00",1344.4657258064517
"2016-04-27 00:00:00",1313.7857142857142
"2016-04-28 00:00:00",1407.9303482587065
"2016-04-29 00:00:00",1423.2069651741294
"2016-04-30 00:00:00",1588.1064707824364
"2016-05-01 00:00:00",1680.5341635812858
"2016-05-02 00:00:00",1480.2106907894736
"2016-05-03 00:00:00",1446.3123554674596
"2016-05-04 00:00:00",1497.9571906354515
"2016-05-05 00:00:00",1485.9832698360112
"2016-05-06 00:00:00",1625.2632015941547
"2016-05-07 00:00:00",1374.8326653306613
"2016-05-08 00:00:00",1530.2282267393819
"2016-05-09 00:00:00",1459.5817339510259
"2016-05-10 00:00:00",1481.180638722555
"2016-05-11 00:00:00",1558.5437943862023
"2016-05-12 00:00:00",1679.3848171831448
"2016-05-13 00:00:00",1674.2221306068602
"2016-05-14 00:00:00",1682.89157435381
"2016-05-15 00:00:00",1539.6884455527847
"2016-05-16 00:00:00",1491.408824022815
