"DateTime","Total Daily Block Mining Reward [Ether]"
"2016-02-01 00:00:00",25131
"2016-02-02 00:00:00",24821
"2016-02-03 00:00:00",26049
"2016-02-04 00:00:00",25362
"2016-02-05 00:00:00",25285
"2016-02-06 00:00:00",24994
"2016-02-07 00:00:00",25487
"2016-02-08 00:00:00",25409
"2016-02-09 00:00:00",25325
"2016-02-10 00:00:00",24861
"2016-02-11 00:00:00",25152
"2016-02-12 00:00:00",25221
"2016-02-13 00:00:00",25524
"2016-02-14 00:00:00",25008
"2016-02-15 00:00:00",24931
"2016-02-16 00:00:00",25180
"2016-02-17 00:00:00",24343
"2016-02-18 00:00:00",25046
"2016-02-19 00:00:00",25227
"2016-02-20 00:00:00",25309
"2016-02-21 00:00:00",25328
"2016-02-22 00:00:00",25567
"2016-02-23 00:00:00",24901
"2016-02-24 00:00:00",25198
"2016-02-25 00:00:00",25690
"2016-02-26 00:00:00",25332
"2016-02-27 00:00:00",25011
"2016-02-28 00:00:00",25198
"2016-02-29 00:00:00",24148
"2016-03-01 00:00:00",25312
"2016-03-02 00:00:00",25481
"2016-03-03 00:00:00",25115
"2016-03-04 00:00:00",25012
"2016-03-05 00:00:00",25732
"2016-03-06 00:00:00",24575
"2016-03-07 00:00:00",25169
"2016-03-08 00:00:00",25119
"2016-03-09 00:00:00",24982
"2016-03-10 00:00:00",26011
"2016-03-11 00:00:00",25366
"2016-03-12 00:00:00",25165
"2016-03-13 00:00:00",25985
"2016-03-14 00:00:00",25580
"2016-03-15 00:00:00",29956
"2016-03-16 00:00:00",30188
"2016-03-17 00:00:00",30485
"2016-03-18 00:00:00",29878
"2016-03-19 00:00:00",30487
"2016-03-20 00:00:00",30201
"2016-03-21 00:00:00",30035
"2016-03-22 00:00:00",30418
"2016-03-23 00:00:00",29936
"2016-03-24 00:00:00",30578
"2016-03-25 00:00:00",30400
"2016-03-26 00:00:00",30544
"2016-03-27 00:00:00",30294
"2016-03-28 00:00:00",30055
"2016-03-29 00:00:00",30113
"2016-03-30 00:00:00",30303
"2016-03-31 00:00:00",30164
"2016-04-01 00:00:00",30472
"2016-04-02 00:00:00",29744
"2016-04-03 00:00:00",30247
"2016-04-04 00:00:00",30500
"2016-04-05 00:00:00",30230
"2016-04-06 00:00:00",30078
"2016-04-07 00:00:00",29828
"2016-04-08 00:00:00",30576
"2016-04-09 00:00:00",29724
"2016-04-10 00:00:00",30392
"2016-04-11 00:00:00",29743
"2016-04-12 00:00:00",30134
"2016-04-13 00:00:00",30140
"2016-04-14 00:00:00",30164
"2016-04-15 00:00:00",30360
"2016-04-16 00:00:00",30160
"2016-04-17 00:00:00",30139
"2016-04-18 00:00:00",30346
"2016-04-19 00:00:00",29912
"2016-04-20 00:00:00",30321
"2016-04-21 00:00:00",30015
"2016-04-22 00:00:00",30220
"2016-04-23 00:00:00",30322
"2016-04-24 00:00:00",29977
"2016-04-25 00:00:00",30593
"2016-04-26 00:00:00",29828
"2016-04-27 00:00:00",30381
"2016-04-28 00:00:00",30219
"2016-04-29 00:00:00",30219
"2016-04-30 00:00:00",30361
"2016-05-01 00:00:00",29768
"2016-05-02 00:00:00",30468
"2016-05-03 00:00:00",30340
"2016-05-04 00:00:00",29969
"2016-05-05 00:00:00",30258
"2016-05-06 00:00:00",30183
"2016-05-07 00:00:00",30013
"2016-05-08 00:00:00",30327
"2016-05-09 00:00:00",30290
"2016-05-10 00:00:00",30133
"2016-05-11 00:00:00",29644
"2016-05-12 00:00:00",30572
"2016-05-13 00:00:00",30404
"2016-05-14 00:00:00",29873
"2016-05-15 00:00:00",30149
"2016-05-16 00:00:00",29878
"2016-05-17 00:00:00",30435
"2016-05-18 00:00:00",30398
"2016-05-19 00:00:00",30127
"2016-05-20 00:00:00",30260
"2016-05-21 00:00:00",29981
"2016-05-22 00:00:00",30492
"2016-05-23 00:00:00",30146
"2016-05-24 00:00:00",30128
"2016-05-25 00:00:00",30232
"2016-05-26 00:00:00",30172
"2016-05-27 00:00:00",30307
"2016-05-28 00:00:00",30183
"2016-05-29 00:00:00",30081
"2016-05-30 00:00:00",30113
"2016-05-31 00:00:00",29752
"2016-06-01 00:00:00",30270
"2016-06-02 00:00:00",30431
"2016-06-03 00:00:00",30227
"2016-06-04 00:00:00",30159
"2016-06-05 00:00:00",29884
"2016-06-06 00:00:00",30612
"2016-06-07 00:00:00",30027
"2016-06-08 00:00:00",30527
"2016-06-09 00:00:00",30528
"2016-06-10 00:00:00",29574
"2016-06-11 00:00:00",30640
"2016-06-12 00:00:00",30398
"2016-06-13 00:00:00",30490
"2016-06-14 00:00:00",30252
"2016-06-15 00:00:00",30106
"2016-06-16 00:00:00",30145
"2016-06-17 00:00:00",29410
"2016-06-18 00:00:00",29637
"2016-06-19 00:00:00",31190
"2016-06-20 00:00:00",29822
"2016-06-21 00:00:00",30072
"2016-06-22 00:00:00",30772
"2016-06-23 00:00:00",30086
"2016-06-24 00:00:00",30286
"2016-06-25 00:00:00",30056
"2016-06-26 00:00:00",30339
"2016-06-27 00:00:00",30331
"2016-06-28 00:00:00",30406
"2016-06-29 00:00:00",30030
"2016-06-30 00:00:00",30005
"2016-07-01 00:00:00",30713
"2016-07-02 00:00:00",30090
"2016-07-03 00:00:00",30296
"2016-07-04 00:00:00",30405
"2016-07-05 00:00:00",29817
"2016-07-06 00:00:00",30515
"2016-07-07 00:00:00",30248
"2016-07-08 00:00:00",30057
"2016-07-09 00:00:00",30716
"2016-07-10 00:00:00",30298
"2016-07-11 00:00:00",30218
"2016-07-12 00:00:00",30098
"2016-07-13 00:00:00",30498
"2016-07-14 00:00:00",30076
"2016-07-15 00:00:00",30017
"2016-07-16 00:00:00",30475
"2016-07-17 00:00:00",30210
"2016-07-18 00:00:00",30623
"2016-07-19 00:00:00",29926
"2016-07-20 00:00:00",29815
"2016-07-21 00:00:00",30848
"2016-07-22 00:00:00",29859
"2016-07-23 00:00:00",30539
"2016-07-24 00:00:00",29754
"2016-07-25 00:00:00",30220
"2016-07-26 00:00:00",29111
"2016-07-27 00:00:00",30955
"2016-07-28 00:00:00",30480
"2016-07-29 00:00:00",29974
"2016-07-30 00:00:00",29972
"2016-07-31 00:00:00",30224
"2016-08-01 00:00:00",29874
"2016-08-02 00:00:00",29542
"2016-08-03 00:00:00",29988
"2016-08-04 00:00:00",31033
"2016-08-05 00:00:00",30398
"2016-08-06 00:00:00",29955
"2016-08-07 00:00:00",30458
"2016-08-08 00:00:00",30367
"2016-08-09 00:00:00",30728
"2016-08-10 00:00:00",30343
"2016-08-11 00:00:00",30411
"2016-08-12 00:00:00",30149
"2016-08-13 00:00:00",30231
"2016-08-14 00:00:00",30239
"2016-08-15 00:00:00",30522
"2016-08-16 00:00:00",30338
"2016-08-17 00:00:00",30120
"2016-08-18 00:00:00",30589
"2016-08-19 00:00:00",30139
"2016-08-20 00:00:00",30352
"2016-08-21 00:00:00",30509
"2016-08-22 00:00:00",30465
"2016-08-23 00:00:00",30158
"2016-08-24 00:00:00",30343
"2016-08-25 00:00:00",30536
"2016-08-26 00:00:00",30102
"2016-08-27 00:00:00",30456
"2016-08-28 00:00:00",30247
"2016-08-29 00:00:00",30143
"2016-08-30 00:00:00",30199
"2016-08-31 00:00:00",30435
"2016-09-01 00:00:00",30016
"2016-09-02 00:00:00",30517
"2016-09-03 00:00:00",29813
"2016-09-04 00:00:00",30183
"2016-09-05 00:00:00",30452
"2016-09-06 00:00:00",30032
"2016-09-07 00:00:00",30656
"2016-09-08 00:00:00",30152
"2016-09-09 00:00:00",30443
"2016-09-10 00:00:00",30067
"2016-09-11 00:00:00",30540
"2016-09-12 00:00:00",30391
"2016-09-13 00:00:00",30089
"2016-09-14 00:00:00",30536
"2016-09-15 00:00:00",30235
"2016-09-16 00:00:00",30400
"2016-09-17 00:00:00",30297
"2016-09-18 00:00:00",28057
"2016-09-19 00:00:00",32150
"2016-09-20 00:00:00",30909
"2016-09-21 00:00:00",30388
"2016-09-22 00:00:00",28863
"2016-09-23 00:00:00",31266
"2016-09-24 00:00:00",29557
"2016-09-25 00:00:00",31470
"2016-09-26 00:00:00",29352
"2016-09-27 00:00:00",30489
"2016-09-28 00:00:00",30612
"2016-09-29 00:00:00",30702
"2016-09-30 00:00:00",30108
"2016-10-01 00:00:00",29135
"2016-10-02 00:00:00",30566
"2016-10-03 00:00:00",31123
"2016-10-04 00:00:00",30468
"2016-10-05 00:00:00",29278
"2016-10-06 00:00:00",29905
"2016-10-07 00:00:00",29754
"2016-10-08 00:00:00",31218
"2016-10-09 00:00:00",30383
"2016-10-10 00:00:00",30332
"2016-10-11 00:00:00",30349
"2016-10-12 00:00:00",29701
"2016-10-13 00:00:00",30759
"2016-10-14 00:00:00",30506
"2016-10-15 00:00:00",30226
"2016-10-16 00:00:00",30392
"2016-10-17 00:00:00",29907
