"DateTime","Accounts"
"2015-07-30 00:00:00",314
"2015-07-31 00:00:00",159
"2015-08-01 00:00:00",116
"2015-08-02 00:00:00",90
"2015-08-03 00:00:00",78
"2015-08-04 00:00:00",57
"2015-08-05 00:00:00",53
"2015-08-06 00:00:00",41
"2015-08-07 00:00:00",904
"2015-08-08 00:00:00",569
"2015-08-09 00:00:00",370
"2015-08-10 00:00:00",743
"2015-08-11 00:00:00",1958
"2015-08-12 00:00:00",395
"2015-08-13 00:00:00",619
"2015-08-14 00:00:00",732
"2015-08-15 00:00:00",443
"2015-08-16 00:00:00",329
"2015-08-17 00:00:00",332
"2015-08-18 00:00:00",338
"2015-08-19 00:00:00",324
"2015-08-20 00:00:00",246
"2015-08-21 00:00:00",320
"2015-08-22 00:00:00",277
"2015-08-23 00:00:00",370
"2015-08-24 00:00:00",192
"2015-08-25 00:00:00",268
"2015-08-26 00:00:00",223
"2015-08-27 00:00:00",229
"2015-08-28 00:00:00",195
"2015-08-29 00:00:00",134
"2015-08-30 00:00:00",211
"2015-08-31 00:00:00",169
"2015-09-01 00:00:00",203
"2015-09-02 00:00:00",160
"2015-09-03 00:00:00",154
"2015-09-04 00:00:00",154
"2015-09-05 00:00:00",181
"2015-09-06 00:00:00",139
"2015-09-07 00:00:00",235
"2015-09-08 00:00:00",143
"2015-09-09 00:00:00",186
"2015-09-10 00:00:00",105
"2015-09-11 00:00:00",193
"2015-09-12 00:00:00",149
"2015-09-13 00:00:00",215
"2015-09-14 00:00:00",167
"2015-09-15 00:00:00",181
"2015-09-16 00:00:00",153
"2015-09-17 00:00:00",110
"2015-09-18 00:00:00",181
"2015-09-19 00:00:00",112
"2015-09-20 00:00:00",126
"2015-09-21 00:00:00",139
"2015-09-22 00:00:00",140
"2015-09-23 00:00:00",159
"2015-09-24 00:00:00",141
"2015-09-25 00:00:00",127
"2015-09-26 00:00:00",68
"2015-09-27 00:00:00",86
"2015-09-28 00:00:00",128
"2015-09-29 00:00:00",147
"2015-09-30 00:00:00",111
"2015-10-01 00:00:00",105
"2015-10-02 00:00:00",87
"2015-10-03 00:00:00",133
"2015-10-04 00:00:00",94
"2015-10-05 00:00:00",131
"2015-10-06 00:00:00",103
"2015-10-07 00:00:00",101
"2015-10-08 00:00:00",68
"2015-10-09 00:00:00",77
"2015-10-10 00:00:00",59
"2015-10-11 00:00:00",59
"2015-10-12 00:00:00",117
"2015-10-13 00:00:00",203
"2015-10-14 00:00:00",240
"2015-10-15 00:00:00",242
"2015-10-16 00:00:00",111
"2015-10-17 00:00:00",115
"2015-10-18 00:00:00",143
"2015-10-19 00:00:00",244
"2015-10-20 00:00:00",106
"2015-10-21 00:00:00",267
"2015-10-22 00:00:00",161
"2015-10-23 00:00:00",209
"2015-10-24 00:00:00",446
"2015-10-25 00:00:00",328
"2015-10-26 00:00:00",315
"2015-10-27 00:00:00",230
"2015-10-28 00:00:00",193
"2015-10-29 00:00:00",287
"2015-10-30 00:00:00",589
