"DateTime","Gas Limit"
"2016-05-17 00:00:00",4712487.962444408
"2016-05-18 00:00:00",4712453.3658254985
"2016-05-19 00:00:00",4712564.123273998
"2016-05-20 00:00:00",4712617.054662912
"2016-05-21 00:00:00",4712613.597726133
"2016-05-22 00:00:00",4712463.924227482
"2016-05-23 00:00:00",4712495.1365375025
"2016-05-24 00:00:00",4712464.18469218
"2016-05-25 00:00:00",4712474.8626637915
"2016-05-26 00:00:00",4712495.727695631
"2016-05-27 00:00:00",4712494.04846981
"2016-05-28 00:00:00",4712822.050506729
"2016-05-29 00:00:00",4712509.4697550405
"2016-05-30 00:00:00",4712463.529548859
"2016-05-31 00:00:00",4712500.734669811
"2016-06-01 00:00:00",4712476.978307667
"2016-06-02 00:00:00",4712496.356389987
"2016-06-03 00:00:00",4712477.881074805
"2016-06-04 00:00:00",4712514.945977394
"2016-06-05 00:00:00",4712489.806976354
"2016-06-06 00:00:00",4712499.746234447
"2016-06-07 00:00:00",4715372.089983306
"2016-06-08 00:00:00",4712508.669676572
"2016-06-09 00:00:00",4712561.161851609
"2016-06-10 00:00:00",4712518.570145713
"2016-06-11 00:00:00",4712425.684658161
"2016-06-12 00:00:00",4712587.845507007
"2016-06-13 00:00:00",4712493.301610783
"2016-06-14 00:00:00",4712535.156255178
"2016-06-15 00:00:00",4712549.045946396
"2016-06-16 00:00:00",4712441.258354114
"2016-06-17 00:00:00",4743520.647119165
"2016-06-18 00:00:00",4714119.008660214
"2016-06-19 00:00:00",4712571.462552234
"2016-06-20 00:00:00",4712531.035804337
"2016-06-21 00:00:00",4712524.875812636
"2016-06-22 00:00:00",4712458.79280013
"2016-06-23 00:00:00",4712434.986006997
"2016-06-24 00:00:00",4712436.221946375
"2016-06-25 00:00:00",4710615.285928643
"2016-06-26 00:00:00",4132684.2741242563
"2016-06-27 00:00:00",3143705.9656311963
"2016-06-28 00:00:00",3292256.8673149827
"2016-06-29 00:00:00",4710635.67267568
"2016-06-30 00:00:00",4711885.101253133
"2016-07-01 00:00:00",4711780.291496654
"2016-07-02 00:00:00",4711246.691987339
"2016-07-03 00:00:00",4711286.905210918
"2016-07-04 00:00:00",4711172.256963903
"2016-07-05 00:00:00",4711036.653555219
"2016-07-06 00:00:00",4710741.360052562
"2016-07-07 00:00:00",4710758.6240888005
"2016-07-08 00:00:00",4710733.404102735
"2016-07-09 00:00:00",4710524.108227228
"2016-07-10 00:00:00",4710348.622725769
"2016-07-11 00:00:00",4710578.418311494
"2016-07-12 00:00:00",4710585.346486847
"2016-07-13 00:00:00",4709920.605816629
"2016-07-14 00:00:00",4709149.180469922
"2016-07-15 00:00:00",4709212.396459586
"2016-07-16 00:00:00",4709294.1869758265
"2016-07-17 00:00:00",4709053.138165534
"2016-07-18 00:00:00",4708959.749386151
"2016-07-19 00:00:00",4709810.065494138
"2016-07-20 00:00:00",4710309.457450387
"2016-07-21 00:00:00",4709926.793955151
"2016-07-22 00:00:00",4709940.523921437
"2016-07-23 00:00:00",4709870.183325127
"2016-07-24 00:00:00",4710003.851945427
"2016-07-25 00:00:00",4710210.0424543945
"2016-07-26 00:00:00",4710092.939404372
"2016-07-27 00:00:00",4709955.060566802
"2016-07-28 00:00:00",4709926.64890643
"2016-07-29 00:00:00",4710015.357083124
