"DateTime","Market Cap [USD]"
"2015-12-08 00:00:00",62545590.26431875
"2015-12-09 00:00:00",59637776.73366875
"2015-12-10 00:00:00",63680095.247175
"2015-12-11 00:00:00",68556560.268025
"2015-12-12 00:00:00",73444236.433425
"2015-12-13 00:00:00",72298640.5939875
"2015-12-14 00:00:00",74829322.18563125
"2015-12-15 00:00:00",76468687.9409375
"2015-12-16 00:00:00",74950354.05505
"2015-12-17 00:00:00",70931111.2580375
"2015-12-18 00:00:00",69341720.430325
"2015-12-19 00:00:00",68251614.55888125
"2015-12-20 00:00:00",68472608.58915
"2015-12-21 00:00:00",67677086.03725
"2015-12-22 00:00:00",65811630.15789375
"2015-12-23 00:00:00",64597795.229025
"2015-12-24 00:00:00",64909120.1618
"2015-12-25 00:00:00",65805790.03384688
"2015-12-26 00:00:00",64696304.4336
"2015-12-27 00:00:00",64719162.3456
"2015-12-28 00:00:00",64027230.94899375
"2015-12-29 00:00:00",66088794.3219875
"2015-12-30 00:00:00",68791205.7933375
"2015-12-31 00:00:00",70772332.48576562
"2016-01-01 00:00:00",71139309.6354375
"2016-01-02 00:00:00",70982021.399925
"2016-01-03 00:00:00",73881348.83007188
"2016-01-04 00:00:00",72573574.25930625
"2016-01-05 00:00:00",72478029.0614125
"2016-01-06 00:00:00",72893430.35179062
"2016-01-07 00:00:00",72453624.0127875
"2016-01-08 00:00:00",75252039.21196875
"2016-01-09 00:00:00",75248680.11675313
"2016-01-10 00:00:00",75970930.0965375
"2016-01-11 00:00:00",80263194.0796875
"2016-01-12 00:00:00",93289786.36
"2016-01-13 00:00:00",86437737.843125
"2016-01-14 00:00:00",88763771.33625
"2016-01-15 00:00:00",93387693.6475
"2016-01-16 00:00:00",93420051.86
"2016-01-17 00:00:00",100346540.8253125
"2016-01-18 00:00:00",112641738.51
"2016-01-19 00:00:00",105014782.363125
"2016-01-20 00:00:00",117319892.518125
"2016-01-21 00:00:00",118126604.798125
"2016-01-22 00:00:00",116632400.6475
"2016-01-23 00:00:00",155817952.8040625
"2016-01-24 00:00:00",161248195.89375
"2016-01-25 00:00:00",192026380.546875
"2016-01-26 00:00:00",176726345.30625
"2016-01-27 00:00:00",186010014.169375
"2016-01-28 00:00:00",196070027.6109375
"2016-01-29 00:00:00",185368445.37375
"2016-01-30 00:00:00",186970422.015
"2016-01-31 00:00:00",169330133.225
"2016-02-01 00:00:00",167078441.76625
"2016-02-02 00:00:00",188700328.053125
"2016-02-03 00:00:00",194931035.2790625
"2016-02-04 00:00:00",198081214.10375
"2016-02-05 00:00:00",197378460.08
"2016-02-06 00:00:00",195132086.0775
"2016-02-07 00:00:00",231461974.3125
"2016-02-08 00:00:00",243890842.7425
"2016-02-09 00:00:00",290298761.9175
"2016-02-10 00:00:00",335964762.6984375
"2016-02-11 00:00:00",492917247.068125
"2016-02-12 00:00:00",407298582.95375
"2016-02-13 00:00:00",403574591.77875
"2016-02-14 00:00:00",402165240.1
"2016-02-15 00:00:00",403848925.61625
"2016-02-16 00:00:00",328916596.4609375
"2016-02-17 00:00:00",298832755.7675
"2016-02-18 00:00:00",337655958.67375
"2016-02-19 00:00:00",344744537.959375
"2016-02-20 00:00:00",338662953.9584375
"2016-02-21 00:00:00",358935101.5446875
"2016-02-22 00:00:00",434283011.925
"2016-02-23 00:00:00",442187234.709375
"2016-02-24 00:00:00",483467529.2978125
"2016-02-25 00:00:00",460345653.7196875
"2016-02-26 00:00:00",468269373.5634375
"2016-02-27 00:00:00",490178546.08625
"2016-02-28 00:00:00",505110023.640625
"2016-02-29 00:00:00",493613846.003125
"2016-03-01 00:00:00",590205572.7871875
"2016-03-02 00:00:00",676752026.475
"2016-03-03 00:00:00",727558099.675
"2016-03-04 00:00:00",775282274.6925
"2016-03-05 00:00:00",856527848
"2016-03-06 00:00:00",855249413.20875
"2016-03-07 00:00:00",740216754.984375
"2016-03-08 00:00:00",770080557.65875
"2016-03-09 00:00:00",900543330.946875
"2016-03-10 00:00:00",866532749.864375
"2016-03-11 00:00:00",877748057.578125
"2016-03-12 00:00:00",1034141561.2734375
"2016-03-13 00:00:00",1171135052.8125
"2016-03-14 00:00:00",976275976.953125
"2016-03-15 00:00:00",1022764919.9075
"2016-03-16 00:00:00",1009889111.42875
"2016-03-17 00:00:00",871112535.11375
"2016-03-18 00:00:00",840952113.96875
"2016-03-19 00:00:00",825644920.759375
"2016-03-20 00:00:00",787615278.820625
"2016-03-21 00:00:00",937528227.444375
"2016-03-22 00:00:00",858769397.805
"2016-03-23 00:00:00",963365981.67625
"2016-03-24 00:00:00",872794980.2446876
"2016-03-25 00:00:00",838631858.298125
"2016-03-26 00:00:00",863302686.125
"2016-03-27 00:00:00",824393778.140625
"2016-03-28 00:00:00",909551096.743125
"2016-03-29 00:00:00",921701612.2415625
"2016-03-30 00:00:00",933864679.44
"2016-03-31 00:00:00",897277002.0003124
"2016-04-01 00:00:00",914948516.8353125
"2016-04-02 00:00:00",913735941.9159375
"2016-04-03 00:00:00",911742296.911875
"2016-04-04 00:00:00",874304549.784375
"2016-04-05 00:00:00",818708627.695
"2016-04-06 00:00:00",850565051.9559375
"2016-04-07 00:00:00",794910619.44
"2016-04-08 00:00:00",768409004.0825
"2016-04-09 00:00:00",722934757.57375
"2016-04-10 00:00:00",694802153.65
"2016-04-11 00:00:00",688755798.86
"2016-04-12 00:00:00",594999060.905625
"2016-04-13 00:00:00",633969977.763125
"2016-04-14 00:00:00",670598626.84
"2016-04-15 00:00:00",650298668.74125
"2016-04-16 00:00:00",671135111.39
"2016-04-17 00:00:00",748201808.615625
"2016-04-18 00:00:00",706523354.51625
"2016-04-19 00:00:00",694917090.3553125
"2016-04-20 00:00:00",676964195.01375
"2016-04-21 00:00:00",646304665.6453125
"2016-04-22 00:00:00",621175531.843125
"2016-04-23 00:00:00",659518631.6971875
"2016-04-24 00:00:00",635167610.25
"2016-04-25 00:00:00",590150696.161875
"2016-04-26 00:00:00",595945320.9375
"2016-04-27 00:00:00",617647021.24125
"2016-04-28 00:00:00",580517415.4625
"2016-04-29 00:00:00",597455175.3128124
"2016-04-30 00:00:00",702748873.918125
"2016-05-01 00:00:00",697449490.53
"2016-05-02 00:00:00",798883816.124375
"2016-05-03 00:00:00",746613074.150625
"2016-05-04 00:00:00",751690603.636875
"2016-05-05 00:00:00",780698295.829375
"2016-05-06 00:00:00",739525382.9803125
"2016-05-07 00:00:00",742212299.071875
"2016-05-08 00:00:00",753686044.07
"2016-05-09 00:00:00",744401678.37875
"2016-05-10 00:00:00",750290349.9121875
"2016-05-11 00:00:00",796945756.4490625
"2016-05-12 00:00:00",807663021.70625
"2016-05-13 00:00:00",838387764.9275
"2016-05-14 00:00:00",811509273.485625
"2016-05-15 00:00:00",795819350.83875
"2016-05-16 00:00:00",884235778.32
"2016-05-17 00:00:00",982344915.54875
"2016-05-18 00:00:00",1065305362.760625
"2016-05-19 00:00:00",1161957746.3090625
"2016-05-20 00:00:00",1101453694.0196874
"2016-05-21 00:00:00",1119546785.75625
"2016-05-22 00:00:00",1140871252.03625
"2016-05-23 00:00:00",1080284991.7875
"2016-05-24 00:00:00",1014024446.194375
"2016-05-25 00:00:00",1007198326.693125
"2016-05-26 00:00:00",994733444.081875
"2016-05-27 00:00:00",893769649.1659375
"2016-05-28 00:00:00",930344543.03
"2016-05-29 00:00:00",988682498.27125
"2016-05-30 00:00:00",1005184229.79
"2016-05-31 00:00:00",1115965704.58125
"2016-06-01 00:00:00",1114798756.3040626
"2016-06-02 00:00:00",1111211862.580625
"2016-06-03 00:00:00",1111656573.324375
"2016-06-04 00:00:00",1102415018.301875
"2016-06-05 00:00:00",1118186182.0265625
"2016-06-06 00:00:00",1127518994.48625
"2016-06-07 00:00:00",1164324861.7721875
"2016-06-08 00:00:00",1167215310.1075
"2016-06-09 00:00:00",1171723868.20125
"2016-06-10 00:00:00",1130109790.5521874
"2016-06-11 00:00:00",1133799189.883125
"2016-06-12 00:00:00",1260548253.894375
"2016-06-13 00:00:00",1421414722.9546876
"2016-06-14 00:00:00",1515156978.9125
"2016-06-15 00:00:00",1483330370.634375
"2016-06-16 00:00:00",1671227432.308125
"2016-06-17 00:00:00",1256573560.2809374
"2016-06-18 00:00:00",921931997.055
"2016-06-19 00:00:00",1001062603.27125
"2016-06-20 00:00:00",950284482.834375
"2016-06-21 00:00:00",1032724160.8034375
"2016-06-22 00:00:00",1073782181.9628124
"2016-06-23 00:00:00",1104290334.861875
"2016-06-24 00:00:00",1159231444.1953125
"2016-06-25 00:00:00",1162124406.63375
"2016-06-26 00:00:00",1125135615.569375
"2016-06-27 00:00:00",1143497213.82
"2016-06-28 00:00:00",989955657.6609375
"2016-06-29 00:00:00",1040063796.32375
"2016-06-30 00:00:00",1011116931.2
"2016-07-01 00:00:00",997653765.8196875
"2016-07-02 00:00:00",982538923.03875
"2016-07-03 00:00:00",967413410.9953125
"2016-07-04 00:00:00",926142375.335625
"2016-07-05 00:00:00",853785704.3890625
"2016-07-06 00:00:00",859027872.67375
"2016-07-07 00:00:00",823385956.869375
"2016-07-08 00:00:00",924319452.009375
"2016-07-09 00:00:00",893594298.52875
"2016-07-10 00:00:00",898036508.706875
"2016-07-11 00:00:00",866448364.69
"2016-07-12 00:00:00",863507329.398125
