"DateTime","Accounts"
"2016-01-10 00:00:00",36087
"2016-01-11 00:00:00",36426
"2016-01-12 00:00:00",36778
"2016-01-13 00:00:00",37009
"2016-01-14 00:00:00",37240
"2016-01-15 00:00:00",37667
"2016-01-16 00:00:00",37961
"2016-01-17 00:00:00",38240
"2016-01-18 00:00:00",38642
"2016-01-19 00:00:00",38969
"2016-01-20 00:00:00",39441
"2016-01-21 00:00:00",39860
"2016-01-22 00:00:00",40298
"2016-01-23 00:00:00",40909
"2016-01-24 00:00:00",41689
"2016-01-25 00:00:00",42547
"2016-01-26 00:00:00",43513
"2016-01-27 00:00:00",44330
"2016-01-28 00:00:00",45352
"2016-01-29 00:00:00",46337
"2016-01-30 00:00:00",47337
"2016-01-31 00:00:00",48247
"2016-02-01 00:00:00",48948
"2016-02-02 00:00:00",49536
"2016-02-03 00:00:00",50217
"2016-02-04 00:00:00",50825
"2016-02-05 00:00:00",51648
"2016-02-06 00:00:00",52199
"2016-02-07 00:00:00",52730
"2016-02-08 00:00:00",53419
"2016-02-09 00:00:00",54210
"2016-02-10 00:00:00",55556
"2016-02-11 00:00:00",57959
"2016-02-12 00:00:00",59597
"2016-02-13 00:00:00",61056
"2016-02-14 00:00:00",62188
"2016-02-15 00:00:00",63208
"2016-02-16 00:00:00",64200
"2016-02-17 00:00:00",65173
"2016-02-18 00:00:00",66002
"2016-02-19 00:00:00",67388
"2016-02-20 00:00:00",68058
"2016-02-21 00:00:00",69813
"2016-02-22 00:00:00",70751
"2016-02-23 00:00:00",71729
"2016-02-24 00:00:00",72568
"2016-02-25 00:00:00",73607
"2016-02-26 00:00:00",74993
"2016-02-27 00:00:00",75826
"2016-02-28 00:00:00",77201
"2016-02-29 00:00:00",79069
"2016-03-01 00:00:00",80930
"2016-03-02 00:00:00",83131
"2016-03-03 00:00:00",85462
"2016-03-04 00:00:00",87939
"2016-03-05 00:00:00",91130
"2016-03-06 00:00:00",94040
"2016-03-07 00:00:00",95937
"2016-03-08 00:00:00",98362
"2016-03-09 00:00:00",100752
"2016-03-10 00:00:00",103210
"2016-03-11 00:00:00",104725
"2016-03-12 00:00:00",106673
"2016-03-13 00:00:00",108658
"2016-03-14 00:00:00",110857
"2016-03-15 00:00:00",112764
"2016-03-16 00:00:00",114395
"2016-03-17 00:00:00",116096
"2016-03-18 00:00:00",118003
"2016-03-19 00:00:00",119275
"2016-03-20 00:00:00",120812
"2016-03-21 00:00:00",122357
"2016-03-22 00:00:00",123556
"2016-03-23 00:00:00",124919
"2016-03-24 00:00:00",126215
"2016-03-25 00:00:00",127342
"2016-03-26 00:00:00",128381
"2016-03-27 00:00:00",129428
"2016-03-28 00:00:00",130836
"2016-03-29 00:00:00",132655
"2016-03-30 00:00:00",135130
"2016-03-31 00:00:00",137211
"2016-04-01 00:00:00",138313
"2016-04-02 00:00:00",139440
"2016-04-03 00:00:00",140385
"2016-04-04 00:00:00",141613
"2016-04-05 00:00:00",142825
"2016-04-06 00:00:00",143961
"2016-04-07 00:00:00",145122
"2016-04-08 00:00:00",145945
"2016-04-09 00:00:00",146876
"2016-04-10 00:00:00",148125
"2016-04-11 00:00:00",149184
"2016-04-12 00:00:00",150429
"2016-04-13 00:00:00",151645
"2016-04-14 00:00:00",152634
"2016-04-15 00:00:00",153467
"2016-04-16 00:00:00",154254
"2016-04-17 00:00:00",155132
"2016-04-18 00:00:00",156042
"2016-04-19 00:00:00",156883
"2016-04-20 00:00:00",157911
"2016-04-21 00:00:00",159886
"2016-04-22 00:00:00",160965
"2016-04-23 00:00:00",161958
"2016-04-24 00:00:00",163054
"2016-04-25 00:00:00",164175
"2016-04-26 00:00:00",165374
"2016-04-27 00:00:00",166618
"2016-04-28 00:00:00",167713
"2016-04-29 00:00:00",168807
"2016-04-30 00:00:00",174851
"2016-05-01 00:00:00",177431
"2016-05-02 00:00:00",181424
"2016-05-03 00:00:00",182993
"2016-05-04 00:00:00",184711
"2016-05-05 00:00:00",186312
"2016-05-06 00:00:00",187750
"2016-05-07 00:00:00",189119
"2016-05-08 00:00:00",190800
"2016-05-09 00:00:00",192589
"2016-05-10 00:00:00",194205
"2016-05-11 00:00:00",196884
"2016-05-12 00:00:00",200052
"2016-05-13 00:00:00",202861
"2016-05-14 00:00:00",205222
"2016-05-15 00:00:00",207683
"2016-05-16 00:00:00",209445
"2016-05-17 00:00:00",211956
"2016-05-18 00:00:00",217094
"2016-05-19 00:00:00",221031
"2016-05-20 00:00:00",226399
"2016-05-21 00:00:00",231015
"2016-05-22 00:00:00",233454
"2016-05-23 00:00:00",236221
"2016-05-24 00:00:00",238755
"2016-05-25 00:00:00",242209
"2016-05-26 00:00:00",245075
"2016-05-27 00:00:00",249374
"2016-05-28 00:00:00",262268
"2016-05-29 00:00:00",265683
"2016-05-30 00:00:00",268227
"2016-05-31 00:00:00",271048
"2016-06-01 00:00:00",273525
"2016-06-02 00:00:00",275661
"2016-06-03 00:00:00",277741
"2016-06-04 00:00:00",279620
"2016-06-05 00:00:00",281474
"2016-06-06 00:00:00",283660
"2016-06-07 00:00:00",289428
"2016-06-08 00:00:00",292328
