"DateTime","Gas Usage"
"2015-12-05 00:00:00",46308.68537754694
"2015-12-06 00:00:00",65440.575819255035
"2015-12-07 00:00:00",35549.802051901024
"2015-12-08 00:00:00",34762.02952555488
"2015-12-09 00:00:00",34506.353302611366
"2015-12-10 00:00:00",39889.32095645412
"2015-12-11 00:00:00",53471.83425523509
"2015-12-12 00:00:00",69713.26792750198
"2015-12-13 00:00:00",61690.53352272727
"2015-12-14 00:00:00",283120.47389477893
"2015-12-15 00:00:00",383719.54043392505
"2015-12-16 00:00:00",168357.98896025692
"2015-12-17 00:00:00",119764.84565217391
"2015-12-18 00:00:00",119899.54900398407
"2015-12-19 00:00:00",107133.80865422786
"2015-12-20 00:00:00",132404.058419244
"2015-12-21 00:00:00",148840.96503215434
"2015-12-22 00:00:00",218540.9998050302
"2015-12-23 00:00:00",288367.03794992174
"2015-12-24 00:00:00",173859.73913909926
"2015-12-25 00:00:00",98927.65196850394
"2015-12-26 00:00:00",117363.61350919264
"2015-12-27 00:00:00",260755.28876046234
"2015-12-28 00:00:00",135209.83585908287
"2015-12-29 00:00:00",124781.9616542863
"2015-12-30 00:00:00",269125.21658711217
"2015-12-31 00:00:00",89695.58472222222
"2016-01-01 00:00:00",59828.54083930399
"2016-01-02 00:00:00",72255.03218842002
"2016-01-03 00:00:00",71943.7565251266
"2016-01-04 00:00:00",79001.8543956044
"2016-01-05 00:00:00",211010.49609832227
"2016-01-06 00:00:00",245190.89626719058
"2016-01-07 00:00:00",246942.30134511142
"2016-01-08 00:00:00",93537.45498454405
"2016-01-09 00:00:00",142732.18121200235
"2016-01-10 00:00:00",96487.53092479875
"2016-01-11 00:00:00",94438.58547092226
"2016-01-12 00:00:00",95724.54503042596
"2016-01-13 00:00:00",204608.38784486207
"2016-01-14 00:00:00",96257.07269155206
"2016-01-15 00:00:00",80635.42368214004
"2016-01-16 00:00:00",82951.86761791518
"2016-01-17 00:00:00",64230.949761715645
"2016-01-18 00:00:00",116668.10686119874
"2016-01-19 00:00:00",136433.59412711184
"2016-01-20 00:00:00",69081.48590710599
"2016-01-21 00:00:00",68963.97823896837
"2016-01-22 00:00:00",113889.0703015778
"2016-01-23 00:00:00",65431.10085227273
"2016-01-24 00:00:00",81998.8117260062
"2016-01-25 00:00:00",148893.62364269616
"2016-01-26 00:00:00",130697.63761645963
"2016-01-27 00:00:00",198287.03692554685
"2016-01-28 00:00:00",149791.76556631745
"2016-01-29 00:00:00",132929.6554908653
"2016-01-30 00:00:00",109036.05341837752
"2016-01-31 00:00:00",108463.27791461413
"2016-02-01 00:00:00",93315.06520438683
"2016-02-02 00:00:00",93613.06155398587
"2016-02-03 00:00:00",87326.7703404501
"2016-02-04 00:00:00",96919.98380086922
"2016-02-05 00:00:00",105430.80083234244
"2016-02-06 00:00:00",304094.3170242631
"2016-02-07 00:00:00",89657.10143503048
"2016-02-08 00:00:00",88592.03529875765
