"DateTime","Distinct Miners"
"2015-07-30 00:00:00",314
"2015-07-31 00:00:00",423
"2015-08-01 00:00:00",412
"2015-08-02 00:00:00",431
"2015-08-03 00:00:00",443
"2015-08-04 00:00:00",410
"2015-08-05 00:00:00",410
"2015-08-06 00:00:00",395
"2015-08-07 00:00:00",398
"2015-08-08 00:00:00",441
"2015-08-09 00:00:00",492
"2015-08-10 00:00:00",491
"2015-08-11 00:00:00",422
"2015-08-12 00:00:00",387
"2015-08-13 00:00:00",407
"2015-08-14 00:00:00",419
"2015-08-15 00:00:00",393
"2015-08-16 00:00:00",436
"2015-08-17 00:00:00",388
"2015-08-18 00:00:00",361
"2015-08-19 00:00:00",318
"2015-08-20 00:00:00",250
"2015-08-21 00:00:00",261
"2015-08-22 00:00:00",253
"2015-08-23 00:00:00",266
"2015-08-24 00:00:00",267
"2015-08-25 00:00:00",257
"2015-08-26 00:00:00",229
"2015-08-27 00:00:00",218
"2015-08-28 00:00:00",197
"2015-08-29 00:00:00",198
"2015-08-30 00:00:00",183
"2015-08-31 00:00:00",183
"2015-09-01 00:00:00",181
"2015-09-02 00:00:00",172
"2015-09-03 00:00:00",149
"2015-09-04 00:00:00",166
"2015-09-05 00:00:00",185
"2015-09-06 00:00:00",177
"2015-09-07 00:00:00",186
"2015-09-08 00:00:00",197
"2015-09-09 00:00:00",197
"2015-09-10 00:00:00",188
"2015-09-11 00:00:00",174
"2015-09-12 00:00:00",187
"2015-09-13 00:00:00",174
"2015-09-14 00:00:00",187
"2015-09-15 00:00:00",187
"2015-09-16 00:00:00",203
"2015-09-17 00:00:00",193
"2015-09-18 00:00:00",205
"2015-09-19 00:00:00",207
"2015-09-20 00:00:00",196
"2015-09-21 00:00:00",188
"2015-09-22 00:00:00",187
"2015-09-23 00:00:00",174
"2015-09-24 00:00:00",193
"2015-09-25 00:00:00",171
"2015-09-26 00:00:00",179
"2015-09-27 00:00:00",163
"2015-09-28 00:00:00",177
"2015-09-29 00:00:00",175
"2015-09-30 00:00:00",171
"2015-10-01 00:00:00",179
"2015-10-02 00:00:00",164
"2015-10-03 00:00:00",163
"2015-10-04 00:00:00",159
"2015-10-05 00:00:00",158
"2015-10-06 00:00:00",157
"2015-10-07 00:00:00",154
