bitcoin 	https://www. rt.com/business/41409 3-keiser-rasmus-bitcoin-debate/ …	maxkeiser	293	102	2017-12-24 22:56:16	945050520594669569	https://twitter.com/maxkeiser/status/945050520594669569			
	Check out a crypto I backed called @GetWala	VinnyLingham	4	1	2017-12-24 17:39:20	944970761059540993	https://twitter.com/VinnyLingham/status/944970761059540993			@GetWala
	Not sure why these trolls are always rooting for a negative sum game. Collaboration is a win/win for everyone.	VinnyLingham	6	0	2017-12-24 08:42:58	944835777673834496	https://twitter.com/VinnyLingham/status/944835777673834496			
	Loved it!	VinnyLingham	1	0	2017-12-24 08:29:41	944832436701077504	https://twitter.com/VinnyLingham/status/944832436701077504			
	Spoiler alert if you yet haven’t seen Episode V of Star Wars. Actually, never mind - if you haven’t seen it by now, you deserve a spoiler ;) https:// twitter.com/bessbell/statu s/944823494042304512 …	VinnyLingham	45	7	2017-12-24 08:28:37	944832165480505344	https://twitter.com/VinnyLingham/status/944832165480505344			
	$5 @tipprbot	VinnyLingham	27	0	2017-12-24 07:50:14	944822507755810816	https://twitter.com/VinnyLingham/status/944822507755810816			@tipprbot
	What do you care most about (if you have to choose one option only):	VinnyLingham	34	10	2017-12-24 01:17:06	944723570629918721	https://twitter.com/VinnyLingham/status/944723570629918721			
	I thought about that but doing that would be worse in my opinion. As people will dump trying do to before I sell and that would cause an avalanche and a huge price crash. We will never know if that will be the case, but I didn't want to risk that.	SatoshiLite	46	2	2017-12-24 07:01:19	944810197322579968	https://twitter.com/SatoshiLite/status/944810197322579968			
	Why not? I answered it.	SatoshiLite	6	2	2017-12-24 06:52:35	944808000438415362	https://twitter.com/SatoshiLite/status/944808000438415362			
	How many times do I have to say it? No, I did not know about Coinbase adding Bcash.	SatoshiLite	53	2	2017-12-24 06:52:11	944807899527659520	https://twitter.com/SatoshiLite/status/944807899527659520			
	Yeah, it's Litening!	SatoshiLite	306	12	2017-12-24 04:57:00	944778911790936064	https://twitter.com/SatoshiLite/status/944778911790936064			
	Nah, the profile picture change was just a gimmick for our podcast @magicalcrypto	SatoshiLite	17	2	2017-12-24 04:54:15	944778220619960320	https://twitter.com/SatoshiLite/status/944778220619960320			@magicalcrypto
