bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	1517901966	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	How Financial Institutions Are Turning AI Into ROI http:// bit.ly/2ylbI1c #banking #AI #MachineLearning #BigData #roboadvisor #cybersecurity @StrategyFintech @ipfconline1 @FinancialBrand @BAI_Info pic.twitter.com/Xh8WewRUJ9	JimMarous	7	10	1517954520	960997028355559424	https://twitter.com/JimMarous/status/960997028355559424		#banking #AI #MachineLearning #BigData #roboadvisor #cybersecurity	@StrategyFintech @ipfconline1 @FinancialBrand @BAI_Info
	Big Data in Banking Set to Explode http:// bit.ly/2jVLU4p #bigdata #banking #AI #Machinelearning #CRM #fintech #Analytics @FinancialBrand pic.twitter.com/hUOOVXmqgT	JimMarous	12	9	1517952180	960987212962770946	https://twitter.com/JimMarous/status/960987212962770946		#bigdata #banking #AI #Machinelearning #CRM #fintech #Analytics	@FinancialBrand
	Top 10 Retail Banking Trends and Predictions http:// bit.ly/2jdjelQ #banking #fintech #CX #bigdata #AI #MachineLearning #blockchain #payments #regtech pic.twitter.com/TkxlUdLXXq	JimMarous	2	14	1517951340	960983689852325888	https://twitter.com/JimMarous/status/960983689852325888		#banking #fintech #CX #bigdata #AI #MachineLearning #blockchain #payments #regtech	
	Join @Chris_Skinner and myself at the Bank + Fintech event in New York City, Network with those who are building the next banking ecosystem. Register today: https://www. efma.com/bankplusfintec h/ … #banking #fintech #openbanking #PSD2 #innovation #TechTrends @Efma_news @BrettKing @DeepLearn007 pic.twitter.com/gyB5QjTDpE	JimMarous	34	31	1517950902	960981852377972741	https://twitter.com/JimMarous/status/960981852377972741		#banking #fintech #openbanking #PSD2 #innovation #TechTrends	@Chris_Skinner @Efma_news @BrettKing @DeepLearn007
	The five Ps of AI strategy for marketers http:// bit.ly/2COnJvo #marketing #martech #AI #MachineLearning #BigData #Analytics pic.twitter.com/huO4O6YDpy	JimMarous	6	7	1517949120	960974378048438272	https://twitter.com/JimMarous/status/960974378048438272		#marketing #martech #AI #MachineLearning #BigData #Analytics	
	How Banking Gets Started With Machine Learning http:// bit.ly/2wEaFpB #banking #fintech #MachineLearning #AI #BigData @DeepLearn007 pic.twitter.com/ZohLW1xvRV	JimMarous	15	12	1517947620	960968086831513600	https://twitter.com/JimMarous/status/960968086831513600		#banking #fintech #MachineLearning #AI #BigData	@DeepLearn007
	Advancements in AI Are Rewriting Our Entire Economy. http:// bit.ly/2C1wz98 #AI #MachineLearning #BigData #tech #finance #banking @DeepLearn007 @ipfconline1 @Fisher85M @pierrepinna @guzmand pic.twitter.com/efq38QSNjD	JimMarous	13	20	1517945760	960960286273560577	https://twitter.com/JimMarous/status/960960286273560577		#AI #MachineLearning #BigData #tech #finance #banking	@DeepLearn007 @ipfconline1 @Fisher85M @pierrepinna @guzmand
	Moving From Personalization to Hyper-Relevance http:// bit.ly/2jJxC5N #banking #fintech #personalization #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @personetics @SpirosMargaris @MikeQuindazzi @Fisher85M pic.twitter.com/ZAy7iq8IqY	JimMarous	15	21	1517943720	960951729268379649	https://twitter.com/JimMarous/status/960951729268379649		#banking #fintech #personalization #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @personetics @SpirosMargaris @MikeQuindazzi @Fisher85M
	Digital Transformation Framework: How to Turn the Tables on Fintechs. http:// bit.ly/2zM3TSH #banking #fintech #digital #AI #MachineLearning #DeepLearning #BigData @didur_kostya @DeepLearn007 @ipfconline1 @Fisher85M @MikeQuindazzi @psb_dc pic.twitter.com/JqTDiPAgtw	JimMarous	20	26	1517941980	960944430797619200	https://twitter.com/JimMarous/status/960944430797619200		#banking #fintech #digital #AI #MachineLearning #DeepLearning #BigData	@didur_kostya @DeepLearn007 @ipfconline1 @Fisher85M @MikeQuindazzi @psb_dc
	12 Great Examples of How Banks are Applying Machine Learning http:// bit.ly/2jsH2Sp #banking #fintech #regtech #AI #MachineLearning #BigData #tech @DeepLearn007 @ipfconline1 @SpirosMargaris @jblefevre60 @andi_staub @psb_dc @GlenGilmore @guzmand @BourseetTrading @Fisher85M pic.twitter.com/4TlZJmZNfZ	JimMarous	34	43	1517940180	960936883273584642	https://twitter.com/JimMarous/status/960936883273584642		#banking #fintech #regtech #AI #MachineLearning #BigData #tech	@DeepLearn007 @ipfconline1 @SpirosMargaris @jblefevre60 @andi_staub @psb_dc @GlenGilmore @guzmand @BourseetTrading @Fisher85M
	Artificial Intelligence, Customer Centricity, and Banking’s Social Contract. http:// bit.ly/2xU92Hb Excellent from @leimer in @IntBanker #banking #AI #MachineLearning #BigData #CX @psb_dc @BourseetTrading @BrettKing pic.twitter.com/4eOXWtZMmu	JimMarous	18	17	1517938260	960928828620128257	https://twitter.com/JimMarous/status/960928828620128257		#banking #AI #MachineLearning #BigData #CX	@leimer @IntBanker @psb_dc @BourseetTrading @BrettKing
	Banking is (finally) using customer data for personalized experiences http:// bit.ly/2vBxQQj #fintech #AI #bigdata #PFM #machinelearning pic.twitter.com/lPx4x1fPou	JimMarous	8	19	1517936580	960921782231359488	https://twitter.com/JimMarous/status/960921782231359488		#fintech #AI #bigdata #PFM #machinelearning	
	10 Big Financial Technology Trends for 2018 http:// bit.ly/2qYpWml via @FinancialBrand	JimMarous	7	10	1517935518	960917326039343105	https://twitter.com/JimMarous/status/960917326039343105			@FinancialBrand
	Don't Fear Artificial Intelligence http:// bit.ly/2uMDQtm #AI #Fintech #machinelearning #Banking #tech #BigData HT @DeepLearn007 pic.twitter.com/gBzX0yrsDz	JimMarous	12	18	1517934780	960914231657836544	https://twitter.com/JimMarous/status/960914231657836544		#AI #Fintech #machinelearning #Banking #tech #BigData	@DeepLearn007
	What's Next in AI, Analytics and Automation http:// bit.ly/2l07rIW HT @DeepLearn007 #banking #fintech #AI #MachineLearning #analytics #tech #automation #BigData #insurtech #robotics @pierrepinna @chboursin @helene_wpli @psb_dc @guzmand @McKinsey @leimer @fintechna pic.twitter.com/RaDtn5WEpe	JimMarous	17	19	1517933220	960907689336295424	https://twitter.com/JimMarous/status/960907689336295424		#banking #fintech #AI #MachineLearning #analytics #tech #automation #BigData #insurtech #robotics	@DeepLearn007 @pierrepinna @chboursin @helene_wpli @psb_dc @guzmand @McKinsey @leimer @fintechna
	Creating Exponental Growth and Value with AI http:// accntu.re/2CA8whu #AI #MachineLearning #DeepLearning #BigData #TechTrends @BankingInsights @AccentureAI @DeepLearn007 @ipfconline1 @jblefevre60 @Fisher85M @MikeQuindazzi @TunstallAsc pic.twitter.com/BdPQgOnqDX	JimMarous	36	46	1517931120	960898880891060224	https://twitter.com/JimMarous/status/960898880891060224		#AI #MachineLearning #DeepLearning #BigData #TechTrends	@BankingInsights @AccentureAI @DeepLearn007 @ipfconline1 @jblefevre60 @Fisher85M @MikeQuindazzi @TunstallAsc
	The Transformative Power of Automation in Banking http:// bit.ly/2AvPxEb #banking #automation #robotics #RPA #tech #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @pierrepinna @McKinsey pic.twitter.com/fqBdPfRw1f	JimMarous	6	13	1517929440	960891834489651200	https://twitter.com/JimMarous/status/960891834489651200		#banking #automation #robotics #RPA #tech #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @pierrepinna @McKinsey
	Intelligent Banking Organizations Will Destroy Slow Responders. http:// bit.ly/2E5y0Uy #banking #fintech #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer pic.twitter.com/zJ2CUUekcV	JimMarous	24	30	1517927677	960884438774272000	https://twitter.com/JimMarous/status/960884438774272000		#banking #fintech #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer
