bitcoin 	"Mosaic Ventures on their investment in ""cypherpunk-inspired"" @ Blockstream http://www.mosaicventures.com/mosaicblog/2016/2/4/our-investment-in-blockstream … # bitcoin"	ErikVoorhees	4	8	1456768975	704366249422139392	https://twitter.com/ErikVoorhees/status/704366249422139392		#	@
bitcoin 	Bitcoin is gold 2.0, can transform remittances: Brock Pierce - The Economic Timeshttp://ecoti.in/YUH0ha91	brockpierce	6	5	1456762502	704339103303733249	https://twitter.com/brockpierce/status/704339103303733249			
	It looks like https://classic-cloud.net/  has filled up almost all capacity! Lots of Classic love. How will classic-cloud scale tho???	brian_armstrong	19	9	1456781743	704419805915250688	https://twitter.com/brian_armstrong/status/704419805915250688			
	. @ cnLedger is the only thing bridging two cultures in a global debatehttps://twitter.com/cnledger/status/704175522217996289 …	brian_armstrong	13	7	1456725702	704184750144036865	https://twitter.com/brian_armstrong/status/704184750144036865			@
bitcoin 	@ BitcoinHawker Bitcoin follows the tech adoption curve, that doesn't happen overnight.	TuurDemeester	0	0	1456785602	704435990664851456	https://twitter.com/TuurDemeester/status/704435990664851456			@
	@ intlspectator Is this total debt? Or government debt?	TuurDemeester	1	0	1456776160	704396388327501824	https://twitter.com/TuurDemeester/status/704396388327501824			@
	@ btc_joe I'll explain in an article later this year. Too much for twitter :-)	TuurDemeester	1	0	1456775664	704394307541708801	https://twitter.com/TuurDemeester/status/704394307541708801			@
	@ from_10000ft Hi Adam, welcome! So far it looks like HK Roundtable consensus is confirmed. SRT doesn't have as big a miner representation.	TuurDemeester	0	0	1456775246	704392552535863296	https://twitter.com/TuurDemeester/status/704392552535863296			@
	Bull Rallies in Bear Marketspic.twitter.com/rRJ8B984z9	TuurDemeester	3	4	1456765844	704353119321399296	https://twitter.com/TuurDemeester/status/704353119321399296			
	"Slide from my 2013 presentation ""Monetary Darwinism"" — and what happened since. # DeutscheBankpic.twitter.com/VowXDmzdv5"	TuurDemeester	5	3	1456755342	704309071009222660	https://twitter.com/TuurDemeester/status/704309071009222660		#	
bitcoin 	Bitcoin Developer Eric Lombrozo on 7 Possible Use Cases of the Lightning Networkhttp://ow.ly/YQ3at	TuurDemeester	8	6	1456744230	704262461713731584	https://twitter.com/TuurDemeester/status/704262461713731584			
bitcoin 	I created this table 3 years ago, feel like it's becoming more relevant every month. # bitcoinpic.twitter.com/0J5bPGXlQS	TuurDemeester	136	97	1456732217	704212077288812544	https://twitter.com/TuurDemeester/status/704212077288812544		#	
bitcoin 	@ Schuldensuehner @ wmiddelkoop don't forget bitcoin: +80%	TuurDemeester	0	0	1456730456	704204690385293312	https://twitter.com/TuurDemeester/status/704204690385293312			@ @
	Fantastic analysis: Keep Your Lid On: A Financial Analyst’s View of the Cost and Valuation of DB Pension Provision - http://www.longfinance.net/publications.html?id=718 …	mrmainelli	2	2	1456749581	704284905518321664	https://twitter.com/mrmainelli/status/704284905518321664			
	. @ HardCoreAds @MortenStorm1 Nothing on Cedric Ford Kansas Shooter muslim connections? Folks need protect @ CNN @ MSNBChttps://twitter.com/hardcoreads/status/704301158555369473 …	NetworksManager	5	9	1456772580	704381370894827520	https://twitter.com/NetworksManager/status/704381370894827520			@ @MortenStorm1 @ @
	My Man @ realDonaldTrump is killing it LIVE @ OANN & @ MSNBC # MakeAmericaGREatAgain! # DC # NYC # election2016 # Trump2016pic.twitter.com/TJ6rZEu3pJ	NetworksManager	20	15	1456769811	704369758230220801	https://twitter.com/NetworksManager/status/704369758230220801		# # # # #	@ @ @
	. @ DBTheChristian @ JihadistJoe Let's see if Putin rush to put out statement confirming this has # NothingToDoWithIslam https://twitter.com/jihadistjoe/status/704264383803707392 …	NetworksManager	13	6	1456759658	704327174157942785	https://twitter.com/NetworksManager/status/704327174157942785		#	@ @
	. @ MikeStehn @ thedailybeast with amount of $ coming their way to buy safety of # Pyeongchang 2018 # Olympics # DPRK could be tourist destination	NetworksManager	3	2	1456758749	704323358947680256	https://twitter.com/NetworksManager/status/704323358947680256		# # #	@ @
	. @ lmirandabermud1 @ mickeynu477 @MortenStorm1 @ BasimaFaysal @ realDonaldTrump You're right here is # news with witness http://www.youtube.com/watch?v=qX4dcvIYk9A&sns=tw …	NetworksManager	4	7	1456757239	704317025334730752	https://twitter.com/NetworksManager/status/704317025334730752		#	@ @ @MortenStorm1 @ @
	. @ thedailybeast Tks to # JohnKerry # BarackObama taking # hostage # college # kids # Americans best gig n town. # DC # Koreahttp://thebea.st/21CSiKX	NetworksManager	2	2	1456756306	704313115601739776	https://twitter.com/NetworksManager/status/704313115601739776		# # # # # # # #	@
	. @ cathyspartanj @ HardCoreAds @ jbarro @ 8NEWS @ CBS6 @ NBC12 @ RIRInsider @ RichmondWX @ NorfolkVA # truth? # Rubio # sex Miamipic.twitter.com/WaNfHJRYye	NetworksManager	6	7	1456754814	704306854734778368	https://twitter.com/NetworksManager/status/704306854734778368		# # #	@ @ @ @ @ @ @ @ @
	. @ FranceRBM # French National Front Party Founder Endorses # Trump2016 # MakeAmericaGREatAgain # DC # Paris # Freedomhttp://sputniknews.com/politics/20160228/1035502858/jean-marie-le-pen-endorses-trump.html …	NetworksManager	6	3	1456710822	704122341245247488	https://twitter.com/NetworksManager/status/704122341245247488		# # # # # #	@
	".@MortenStorm1 @ boyke_bond_Jr @ MerienneL @ palmbeachhair Twitter seems ""cjford2017"" Cedric Ford # Serbia # StephenSmithpic.twitter.com/n89AgSOONR"	NetworksManager	3	3	1456707021	704106398876094465	https://twitter.com/NetworksManager/status/704106398876094465		# #	@MortenStorm1 @ @ @
	This is the 1st time I've ever disagreed with you. Talk is cheap, especially when LIVES are on the line. Power down & show up. @ mikejcasey	haydentiff	2	0	1456721791	704168348175704065	https://twitter.com/haydentiff/status/704168348175704065			@
	Maybe the real problem is too much talking and not enough doing? A hashtag won't change anything. Standing in solidarity will. @ mikejcasey	haydentiff	2	0	1456715369	704141409717264384	https://twitter.com/haydentiff/status/704141409717264384			@
	I'll always say # AllLivesMatter. It SHOULD be obvious, but it hasn't been. Divide and conquer is a tactic I disdain. # Solidarity @ mikejcasey	haydentiff	4	1	1456713906	704135274700275717	https://twitter.com/haydentiff/status/704135274700275717		# #	@
	@ mikelinsf	haydentiff	1	1	1456702292	704086564104634368	https://twitter.com/haydentiff/status/704086564104634368			@
	It’s Not Just the GOP – The Democratic Party is Also Imploding http://po.st/5yqbkS	stacyherbert	10	9	1456786220	704438580475777024	https://twitter.com/stacyherbert/status/704438580475777024			
	US mainstream blogospherepic.twitter.com/elSjkXdwBS	stacyherbert	5	5	1456783819	704428512124542976	https://twitter.com/stacyherbert/status/704428512124542976			
	John Oliver on Trump https://youtu.be/TGc2nN9OguQ	stacyherbert	15	9	1456778176	704404843125972993	https://twitter.com/stacyherbert/status/704404843125972993			
	"""We came, we saw, he died.""https://twitter.com/globeandmail/status/704393142150295560 …"	stacyherbert	11	16	1456775461	704393456664375300	https://twitter.com/stacyherbert/status/704393456664375300			
	I love it!https://twitter.com/Silly_Cake/status/704389236393426944 …	stacyherbert	2	1	1456774491	704389387107373057	https://twitter.com/stacyherbert/status/704389387107373057			
	Remember Libya? http://www.eschatonblog.com/2016/02/remember-libya.html …pic.twitter.com/0lPZsZkjdl	stacyherbert	15	11	1456773934	704387050481557505	https://twitter.com/stacyherbert/status/704387050481557505			
	@ justinbaragona well, it's the Secret Service . . .	stacyherbert	0	0	1456773667	704385930182991874	https://twitter.com/stacyherbert/status/704385930182991874			@
	Chris Morris, reporter/photographer from Time magazine.https://twitter.com/JoePerticone/status/704367346916462592 …	stacyherbert	4	9	1456772022	704379032108924929	https://twitter.com/stacyherbert/status/704379032108924929			
	@ Jeff_Jonson1234 methinks a scandal ridden Secret Service will not want to press charges against a journalist	stacyherbert	0	0	1456771291	704375967314214912	https://twitter.com/stacyherbert/status/704375967314214912			@
	@ Jeff_Jonson1234 maybe he assumed it was just a rent a cop sort of security guard?	stacyherbert	0	0	1456771226	704375693619105792	https://twitter.com/stacyherbert/status/704375693619105792			@
	At Trump rally, Radford University in Virginiahttps://twitter.com/JoePerticone/status/704367346916462592 …	stacyherbert	0	9	1456770912	704374375643025408	https://twitter.com/stacyherbert/status/704374375643025408			
	@DJScootIsADoot @NRWallace he was an establishment beltway approved president	stacyherbert	0	0	1456770846	704374097288028164	https://twitter.com/stacyherbert/status/704374097288028164			@DJScootIsADoot @NRWallace
