currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	All banks everywhere will get hit like this. Central Banks are printing trillions more fiat - and failing - to paper over the cracks. Safe havens like # Bitcoin, # MaxCoin and Gold are the only places to run to preserve wealth. New ATH for all 3 this year. https://twitter.com/zerohedge/status/1005487452780400640 …	maxkeiser	201	89	1528562962	1005492058432434176	https://twitter.com/maxkeiser/status/1005492058432434176		# #		0.18	0.1263	0
bitcoin 	Hashrate is tied to *exponential* leaps in computational abilities that satisfy human’s involuntary, evolutionary path vs. (relatively) *linear* demand for money, so hashrate (via collective unconscious) is driving # Bitcoin price, and not the other way around.	maxkeiser	19	9	1528552751	1005449228301324289	https://twitter.com/maxkeiser/status/1005449228301324289		#		0.24	0.5423	0
bitcoin 	The urge for humans to mine # Bitcoin as the difficulty rises is irresistible and will never stop - not even after every fiat currency in the world has been abandoned.pic.twitter.com/nKZBeLzQPd	maxkeiser	219	102	1528497758	1005218572690509824	https://twitter.com/maxkeiser/status/1005218572690509824		#		0.26	0.2235	0
bitcoin 	Follow the hashrate. The hashrate keeps going higher. Price always follows hashrate. Every currency in the world is crashing against # Bitcoin (at varying speeds).	maxkeiser	76	6	1528495860	1005210611561717760	https://twitter.com/maxkeiser/status/1005210611561717760		#		0.44	0.0	0
bitcoin 	@ evoskuil is one of the smartest guys I’ve met in th Bitcoin space. Vijay is one of the smartest guys I’ve never met. This is fun	VinnyLingham	15	0	1528575436	1005544378297810944	https://twitter.com/VinnyLingham/status/1005544378297810944			@	0.44	0.5785	0
bitcoin 	Fir food http://menufly.com/bitcoin . Plus over 7,000 others. I'm not telling you any more. Do some research for yourself. I'm not here to Google shit for you.	officialmcafee	16	0	1528565159	1005501273649696768	https://twitter.com/officialmcafee/status/1005501273649696768				0.19	-0.1115	0
bitcoin 	Are you shitting me?????? Try: https://www.menufy.com/bitcoin  Or any one of over 7,000 others. Please God sir, learn how to use Google. It's not that fucking hard.	officialmcafee	8	1	1528560941	1005483581425233920	https://twitter.com/officialmcafee/status/1005483581425233920				0.12	0.0194	0
bitcoin 	http://bitcoin-realestate.com/  but that is just one of hundreds. Please people, look this shit up yourself.	officialmcafee	26	1	1528560137	1005480210614059008	https://twitter.com/officialmcafee/status/1005480210614059008				0.47	-0.2248	0
	Your bank has zero involvement in purchasing something with crypto.	officialmcafee	9	0	1528559801	1005478801093152768	https://twitter.com/officialmcafee/status/1005478801093152768				0.10	0.0	0
	Not true, my friend. Google whatever you want to buy, and I promise you will find someone providing it that accepts crypto.	officialmcafee	61	3	1528559717	1005478448024997889	https://twitter.com/officialmcafee/status/1005478448024997889				0.09	-0.0039	0
