currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
	"I go to plenty of conferences. I actually hope to *support* the ""cryptoverse"" by allocating my conference time to events that are genuinely great."	VitalikButerin	377	17	1524762976	989553761692532736	https://twitter.com/VitalikButerin/status/989553761692532736				0.50	0.3953	0
	Cryptocurrency Power Couple Stacy Herbert & Max Keiser to Throw Down at Cyber Investing Summit May 15th in New York City http://www.nbcrightnow.com/story/38045816/cryptocurrency-power-couple-stacy-herbert-max-keiser-to-throw-down-at-cyber-investing-summit-may-15th-in-new-york-city#.WuG4Occ1Ako.twitter …	maxkeiser	36	11	1524742205	989466643851042816	https://twitter.com/maxkeiser/status/989466643851042816		#		0.27	0.0	0
bitcoin litecoin 	That's exactly that. They don't necessarily hold the other altcoins. They hedge the value of them using smart contracts on Bitcoin and Litecoin network.	SatoshiLite	12	2	1524777591	989615061621620737	https://twitter.com/SatoshiLite/status/989615061621620737				-0.12	0.2083	0
bitcoin 	Tom is not my brother. Bitcoin Core doesn't have marketing.	SatoshiLite	19	0	1524703874	989305868268158976	https://twitter.com/SatoshiLite/status/989305868268158976				0.70	0.0	0
litecoin 	Who has right to say Litecoin isn't his vision? How about Titcoin?	SatoshiLite	8	0	1524701657	989296573120036864	https://twitter.com/SatoshiLite/status/989296573120036864				0.08	-0.0939	0
bitcoin 	Are you Satoshi? If Satoshi comes out and says Bitcoin Cash is his vision, that's one thing.	SatoshiLite	7	0	1524700752	989292775836282880	https://twitter.com/SatoshiLite/status/989292775836282880				0.12	0.125	0
	At the Blockchain Nation VIP dinner last night someone caught @ theemrsmcafee and I cutting loose.https://twitter.com/Crypto_Core/status/989335635986141184 …	officialmcafee	574	63	1524753082	989512264096075776	https://twitter.com/officialmcafee/status/989512264096075776			@	-0.06	0.1517	0
bitcoin 	I agree with Erik. That’s why I support Bitcoin(BCH)pic.twitter.com/eGbIQbkYku	rogerkver	514	104	1524756962	989528537559281665	https://twitter.com/rogerkver/status/989528537559281665				-0.11	0.3816	0
	# Fintech In Sixty Seconds - April 26, 2018 Amazon's top secret # Robot project, Clark insurance # roboadvisor in Germany, MobileCoin # cryptocurrency based # mobilepayments startup, RBS # digitalbanking, US vs. China # payments Recorded @ # Huawei FSI Summit in # Beijingpic.twitter.com/JJcaFV3Hoi	BrettKing	22	26	1524693682	989263123206025216	https://twitter.com/BrettKing/status/989263123206025216		# # # # # # # # #	@	0.22	0.2023	0
bitcoin 	“insofar as these blockchains fail, it would be because the decentralization models were not robust enough to protect against the attacks they’re supposed to protect against.” - @ balajishttps://medium.com/conversations-with-tyler/tyler-cowen-balaji-srinivasan-tech-bitcoin-crytocurrency-silicon-valley-management-b8db383c9cef …	naval	363	89	1524757084	989529050317185025	https://twitter.com/naval/status/989529050317185025			@	-0.03	-0.5	0
bitcoin 	Bitcoin Q&A: Lightning's security modelhttps://youtu.be/_GNsT_ufkec	aantonop	185	102	1524774625	989602621974499328	https://twitter.com/aantonop/status/989602621974499328				-0.20	0.34	0
	You can cryptographically sign and link records across many types of data structure, it doesn't specifically need to resemble a blockchain. For example, Dat or Scuttlebutt achieve this with a secured append-only log and *gasp* no blockchain.https://github.com/ssbc/secure-scuttlebutt …	ummjackson	3	0	1524765616	989564833266724864	https://twitter.com/ummjackson/status/989564833266724864				-0.05	0.0427	0
	So we'll just ignore the past few decades of existing paper processes going digital? There are many ways to do this in a cryptographically secure way that do not involve a blockchain (and people are).	ummjackson	11	1	1524763169	989554569813225472	https://twitter.com/ummjackson/status/989554569813225472				0.20	-0.0372	0
litecoin 	Oh I tend to agree with your point, for sure. If my memory serves me correctly, I was against merge mining because of scrypt mining centralization and a reliance on the Litecoin price. But I guess short of a algo change it was the only viable option.	ummjackson	2	0	1524756405	989526199855542273	https://twitter.com/ummjackson/status/989526199855542273				0.30	0.1953	0
litecoin 	It's also unfortunately closely tied to Litecoin's success/failure due to merge mining.	ummjackson	8	0	1524755971	989524382727864321	https://twitter.com/ummjackson/status/989524382727864321				-0.50	-0.34	0
	It's the same venture capitalists and Wall St. investors propping up the ICO market and recent price spikes. I would love to see proof that crypto is somehow meaningfully redistributing wealth away from the top.	ummjackson	5	0	1524719530	989371536464269312	https://twitter.com/ummjackson/status/989371536464269312				0.29	0.424	0
	It's so refreshing to see an open-source project about decentralization that isn't wrapped up in # crypto mania or doing an ICO right now. Kudos to all involved. Follow along: @ dat_project / @ BeakerBrowser	ummjackson	40	6	1524718684	989367989144244225	https://twitter.com/ummjackson/status/989367989144244225		#	@ @	0.14	0.1702	0
	Lots of new people in my mentions - hey folks! Now is probably a good time to mention I have a Youtube channel (https://www.youtube.com/jacksonpalmer ) where you can also follow my # crypto research/commentary. See you there.	ummjackson	23	1	1524717440	989362771153174533	https://twitter.com/ummjackson/status/989362771153174533		#		0.19	0.1468	0
	I am doubtful that represents all of Naval's crypto holdings, but it's better than nothing I guess. Perhaps they should mention their holdings in-line whenever they espouse the belief crypto will replace fiat, however.	ummjackson	0	0	1524716122	989357242653655040	https://twitter.com/ummjackson/status/989357242653655040				-0.09	0.2427	0
	I would love if you could point me to where people like Naval and Draper clearly disclose the current crypto tokens they are holding though.	ummjackson	9	0	1524715192	989353341183344641	https://twitter.com/ummjackson/status/989353341183344641				0.32	0.8555	0
	To be *crystal* clear: I'm not saying that blockchain/cryptocurrency/decentralized whatever is a total bust and everyone should go home. I'm saying stop over promising, be open to feedback and start delivering something that actually benefits society rather than your Blockfoliohttps://twitter.com/ummjackson/status/989265708247695360 …	ummjackson	132	26	1524695874	989272317497819138	https://twitter.com/ummjackson/status/989272317497819138				0.23	0.4293	0
	"I believe that AI is going to have far greater implications on the future of humanity than blockchain will. As many crypto people like to point out ""money is whatever people see as having value, sea shells can be money"" - AI is going to *control* how that money is utilized."	ummjackson	2	0	1524695523	989270842986016768	https://twitter.com/ummjackson/status/989270842986016768				-0.06	0.4803	0
bitcoin 	Two Big Crypto Startups Are Out to Build One Universal Wallet http://bit.ly/2FfQUrw  via @ CoinDesk # bitcoin @ shapeshift_io	ErikVoorhees	200	84	1524714632	989350991098081280	https://twitter.com/ErikVoorhees/status/989350991098081280		#	@ @	0.32	0.0	0
bitcoin ethereum 	From my 2016 write-up on Ethereum: https://medium.com/@tuurdemeester/why-im-short-ethereum-and-long-bitcoin-aee5b1c198fd …pic.twitter.com/5txeHKzUpM	TuurDemeester	33	10	1524751593	989506019574321152	https://twitter.com/TuurDemeester/status/989506019574321152			@tuurdemeester	0.00	0.0	0
