currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
ripple 	Dear @ RobertLe88 . I have done my homework and I have come to this conclusion. I have also reached out to @ JoelKatz and Ripple via mail and twitter and had no response... I’m happy to listen to someone from Ripple if I am wrong...pic.twitter.com/jC6NEsuuef	cryptomanran	13	1	1529091442	1007708662113210369	https://twitter.com/cryptomanran/status/1007708662113210369			@ @	0.22	0.2741	0
ripple 	Ripple the company - one of the best in the world. XRP token, a centralised, possible security , in a blockchain that is missing a few blocks, with no real use case , and more expensive than current systems.http://fortune.com/2018/06/13/ripple-xrp-cryptocurrency-western-union/?utm_campaign=fortunemagazine&utm_medium=social&utm_source=twitter.com&xid=soc_socialflow_twitter_FORTUNE …	cryptomanran	330	86	1529085271	1007682781277810689	https://twitter.com/cryptomanran/status/1007682781277810689				0.31	0.0655	0
	SECURITIES TOKENS: All you need to know! A CNBC CRYPTOTRADER EXCLUSIVE WITH: @ brucefenton @ trevorkoverko We also have a new CRYPTO CHINA segment with @ BiancaYijiaChen Let me know if you enjoy it!https://youtu.be/C1TmpVQ_bNE	cryptomanran	55	23	1529082208	1007669933080219649	https://twitter.com/cryptomanran/status/1007669933080219649			@ @ @	0.12	0.5957	0
bitcoin 	Meet some of the top folks in # BREAD Community including My Man @ AlexEaton1411 at the $ BRD Wallet # BlocBash - FREE Saturday Night # Blockchain Event - HURRY LIMITED SPOTS San Antonio Technology Center 3463 Magic Drive # SanAntonio, TX 78229 # Bitcoin # crypto https://www.eventbrite.com/e/brd-wallet-blocbash-free-saturday-night-blockchain-event-hurry-limited-spots-tickets-46228238907?utm-medium=discovery&utm-campaign=social&utm-content=attendeeshare&aff=estw&utm-source=tw&utm-term=listing …pic.twitter.com/yUQqnFDUVX	NetworksManager	33	12	1529095693	1007726492518936576	https://twitter.com/NetworksManager/status/1007726492518936576		# # # # # #	@	0.16	0.7531	0
bitcoin 	Just got off phone with my man Terrance at https://www.PeerTradex.io  . Looks like we'll be trading # GlobalBoost $ BSTY there by the end of the month! If you or someone you know would like to run a SEC & FINRA compliant ICO please send them my way. # Bitcoin https://bitcointalk.org/index.php?topic=775289.msg40191243#msg40191243 …pic.twitter.com/RCXhu9RsVF	NetworksManager	20	8	1529087707	1007692997453107200	https://twitter.com/NetworksManager/status/1007692997453107200		# # #msg40191243		0.16	0.2515	0
bitcoin 	Stephen Bannon's Going To War With Banks Using # Bitcoin. He's betting $ BTC & other # cryptocurrencies can disrupt banking the way Pres. Trump disrupted American politics. He makes the case that political movements are beholden to who controls the # currency https://www.forbes.com/sites/billybambrough/2018/06/14/stephen-bannons-going-to-war-with-banks-using-bitcoin-heres-why/ …pic.twitter.com/Iog3xOLbxe	NetworksManager	18	9	1529028662	1007445347688468481	https://twitter.com/NetworksManager/status/1007445347688468481		# # #		0.18	-0.1499	0
bitcoin 	Coincidentally, this was the day that Tone Vays decided to lose his shit because I (rightly) said that $ XRP transactions cannot be censored. My notifications were blowing up from Bitcoin maximalists right after she followed me.	haydentiff	4	0	1529028715	1007445566400421888	https://twitter.com/haydentiff/status/1007445566400421888				-0.03	-0.3528	0
	# SEC classifying # ether as “not a security” caused the # cryptocurrency community to breathe a sigh of relief. Ether swings wildly around # SEC news # blockchain # crypto ⁦ @ thomaspower⁩ ⁦ @ tradersdna⁩ @ intelligenthq ⁦ @ HedgeThink⁩https://finance.yahoo.com/news/ether-swings-wildly-around-sec-news-170813329.html …	dinisguarda	5	8	1529041419	1007498851098480641	https://twitter.com/dinisguarda/status/1007498851098480641		# # # # # #	@ @ @ @	0.21	0.247	0
	"I enjoyed this @ CoinRivet writeup of @ NTmoney's comments yesterday at @ YahooFinance # YahooAMS on ""how bad most of mainstream media is at covering crypto"" https://www.coinrivet.com/stories/15/6/2018/all-markets-summit-crypto-review-media-dropping-crypto-ball … video of that moment of our panel here (at 3:30):https://finance.yahoo.com/video/media-covers-crypto-space-215507005.html …"	readDanwrite	5	3	1529071840	1007626448352567297	https://twitter.com/readDanwrite/status/1007626448352567297		#	@ @ @	0.03	-0.0516	0
bitcoin 	Bannoncoinhttps://mobile.nytimes.com/2018/06/14/technology/steve-bannon-bitcoin.html …	readDanwrite	2	0	1529068318	1007611673513951233	https://twitter.com/readDanwrite/status/1007611673513951233				0.00	0.0	0
