currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	Stupid low. Moving to 2mb or 4mb would not increase centralization of Bitcoin by more then 1% at worst.	VinnyLingham	1	0	1529346618	1008778950103875585	https://twitter.com/VinnyLingham/status/1008778950103875585				-0.42	-0.6971	0
bitcoin 	Ok, I guess we’re going to need that Bitcoin node in outer space after all...https://twitter.com/engadget/status/1008767088012484611 …	VinnyLingham	47	7	1529343923	1008767644537839616	https://twitter.com/VinnyLingham/status/1008767644537839616				0.13	0.296	0
bitcoin 	The lack of a fee market in Bitcoin *should* be of major concern right now, especially everyone who was cheering it on in December... Why is everyone suddenly silent on the matter? Seems a bit disingenuous to suddenly avoid the topic after it disappeared, along with the ...	VinnyLingham	299	71	1529302267	1008592927726059520	https://twitter.com/VinnyLingham/status/1008592927726059520				-0.02	-0.1018	0
bitcoin litecoin 	If we can do everything perfectly on Bitcoin, then you are right, there's no need for Litecoin or any other altcoins other than for backup or a testnet. I bet that's not the case. But time will tell.	SatoshiLite	5	1	1529280233	1008500511148920833	https://twitter.com/SatoshiLite/status/1008500511148920833				0.11	0.1529	0
litecoin 	Any ideas why so much DOGE is being sent around? About 32% of the marketcap in 24hrs. In comparison, only 3% for Litecoin.	SatoshiLite	39	5	1529279169	1008496047780347905	https://twitter.com/SatoshiLite/status/1008496047780347905				-0.04	0.0	0
	Docademic rises 130% in 7 days in one if worst bear markets in crypto. I foresee $10.00 before end of year.https://ambcrypto.com/mcafees-visionary-speculator-shill-docademic-mtc-sees-a-massive-129-83-rise/ …	officialmcafee	667	193	1529331671	1008716258018283520	https://twitter.com/officialmcafee/status/1008716258018283520				-0.24	-0.2083	0
	Is Team McAfee what crypto needs right now?https://www.bitgekko.com/5-reasons-why-john-mcafee-is-what-crypto-needs-right-now …	officialmcafee	447	105	1529331310	1008714743555686400	https://twitter.com/officialmcafee/status/1008714743555686400				0.25	0.0	0
bitcoin 	When you hit someone with a 20 pound bag of quarters, it hurts more than hitting them with 0.0014387 Bitcoins.	officialmcafee	45	8	1529273728	1008473226379517952	https://twitter.com/officialmcafee/status/1008473226379517952				-0.10	-0.4767	0
bitcoin 	Join myself, @ fettywap, @ MsLaurynHill, and many more at the 22nd annual St Kitts Music Festival (and now blockchain) event next week. Get 40% off your tickets with # BitcoinCash and code DIFBCH at http://beyondcapitalmarkets.com pic.twitter.com/FEyvl9VjNE	rogerkver	272	87	1529338225	1008743746760929280	https://twitter.com/rogerkver/status/1008743746760929280		#	@ @	0.11	0.3298	0
bitcoin 	Keep writing FUD like this. In the attempt to discredit crypto-currencies you are only discrediting yourselves. BIS: Bitcoin could bring Internet to a halt http://money.cnn.com/2018/06/18/technology/bitcoin-cryptocurrencies-internet-bis/index.html …	aantonop	2873	1074	1529322091	1008676075109605376	https://twitter.com/aantonop/status/1008676075109605376				0.28	-0.0286	0
	Bram hasn't been working at BitTorrent in *quite* a while. He's doing his own cryptocurrency called Chia.	ummjackson	5	0	1529357785	1008825785635909633	https://twitter.com/ummjackson/status/1008825785635909633				-0.06	0.0	0
bitcoin 	I recently tried to do this with Github repos, but discovered that Github does not seem to give you the accounts with push rights or their organizational permission levels. Try and find it @https://github.com/bitcoin/bitcoin	ummjackson	1	0	1529302769	1008595034462212096	https://twitter.com/ummjackson/status/1008595034462212096			@https	0.03	0.0	0
bitcoin 	ahh, Bitcoin Cash. I'm starting to understand why you're so upset about this. Oh well, I'm just doing my best to try and provide easy access to free data. Let's leave it there, all the best.	ummjackson	0	0	1529302511	1008593952856006656	https://twitter.com/ummjackson/status/1008593952856006656				0.78	0.2503	0
bitcoin litecoin 	Hilarious side note: Dogecoin processes about 39k transactions every 24hrs, or the same amount as Litecoin + Bitcoin Cash *combined*. (This is not an endorsement of Dogecoin, but you have to admit it's kind of funny) Source:https://bitinfocharts.com/	ummjackson	106	30	1529278871	1008494799496892416	https://twitter.com/ummjackson/status/1008494799496892416				0.24	0.2922	0
	It's live! Catch up with the recording of my latest # Crypto Weekly live stream: https://www.youtube.com/watch?v=TTeVz_puhro&feature=youtu.be … (apologies for the delay in posting, had to edit out some trolls and re-upload)	ummjackson	15	7	1529277139	1008487533573836800	https://twitter.com/ummjackson/status/1008487533573836800		#		0.00	-0.1591	0
