bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	2018-02-06 08:26:06	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	Moving From Personalization to Hyper-Relevance http:// bit.ly/2jJxC5N #banking #fintech #personalization #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @personetics @SpirosMargaris @MikeQuindazzi @Fisher85M pic.twitter.com/ZAy7iq8IqY	JimMarous	15	21	2018-02-06 20:02:00	960951729268379649	https://twitter.com/JimMarous/status/960951729268379649		#banking #fintech #personalization #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @personetics @SpirosMargaris @MikeQuindazzi @Fisher85M
	Digital Transformation Framework: How to Turn the Tables on Fintechs. http:// bit.ly/2zM3TSH #banking #fintech #digital #AI #MachineLearning #DeepLearning #BigData @didur_kostya @DeepLearn007 @ipfconline1 @Fisher85M @MikeQuindazzi @psb_dc pic.twitter.com/JqTDiPAgtw	JimMarous	20	26	2018-02-06 19:33:00	960944430797619200	https://twitter.com/JimMarous/status/960944430797619200		#banking #fintech #digital #AI #MachineLearning #DeepLearning #BigData	@didur_kostya @DeepLearn007 @ipfconline1 @Fisher85M @MikeQuindazzi @psb_dc
	12 Great Examples of How Banks are Applying Machine Learning http:// bit.ly/2jsH2Sp #banking #fintech #regtech #AI #MachineLearning #BigData #tech @DeepLearn007 @ipfconline1 @SpirosMargaris @jblefevre60 @andi_staub @psb_dc @GlenGilmore @guzmand @BourseetTrading @Fisher85M pic.twitter.com/4TlZJmZNfZ	JimMarous	34	43	2018-02-06 19:03:00	960936883273584642	https://twitter.com/JimMarous/status/960936883273584642		#banking #fintech #regtech #AI #MachineLearning #BigData #tech	@DeepLearn007 @ipfconline1 @SpirosMargaris @jblefevre60 @andi_staub @psb_dc @GlenGilmore @guzmand @BourseetTrading @Fisher85M
	Artificial Intelligence, Customer Centricity, and Banking’s Social Contract. http:// bit.ly/2xU92Hb Excellent from @leimer in @IntBanker #banking #AI #MachineLearning #BigData #CX @psb_dc @BourseetTrading @BrettKing pic.twitter.com/4eOXWtZMmu	JimMarous	18	17	2018-02-06 18:31:00	960928828620128257	https://twitter.com/JimMarous/status/960928828620128257		#banking #AI #MachineLearning #BigData #CX	@leimer @IntBanker @psb_dc @BourseetTrading @BrettKing
	Banking is (finally) using customer data for personalized experiences http:// bit.ly/2vBxQQj #fintech #AI #bigdata #PFM #machinelearning pic.twitter.com/lPx4x1fPou	JimMarous	8	19	2018-02-06 18:03:00	960921782231359488	https://twitter.com/JimMarous/status/960921782231359488		#fintech #AI #bigdata #PFM #machinelearning	
	10 Big Financial Technology Trends for 2018 http:// bit.ly/2qYpWml via @FinancialBrand	JimMarous	7	10	2018-02-06 17:45:18	960917326039343105	https://twitter.com/JimMarous/status/960917326039343105			@FinancialBrand
	Don't Fear Artificial Intelligence http:// bit.ly/2uMDQtm #AI #Fintech #machinelearning #Banking #tech #BigData HT @DeepLearn007 pic.twitter.com/gBzX0yrsDz	JimMarous	12	18	2018-02-06 17:33:00	960914231657836544	https://twitter.com/JimMarous/status/960914231657836544		#AI #Fintech #machinelearning #Banking #tech #BigData	@DeepLearn007
	What's Next in AI, Analytics and Automation http:// bit.ly/2l07rIW HT @DeepLearn007 #banking #fintech #AI #MachineLearning #analytics #tech #automation #BigData #insurtech #robotics @pierrepinna @chboursin @helene_wpli @psb_dc @guzmand @McKinsey @leimer @fintechna pic.twitter.com/RaDtn5WEpe	JimMarous	17	19	2018-02-06 17:07:00	960907689336295424	https://twitter.com/JimMarous/status/960907689336295424		#banking #fintech #AI #MachineLearning #analytics #tech #automation #BigData #insurtech #robotics	@DeepLearn007 @pierrepinna @chboursin @helene_wpli @psb_dc @guzmand @McKinsey @leimer @fintechna
	Creating Exponental Growth and Value with AI http:// accntu.re/2CA8whu #AI #MachineLearning #DeepLearning #BigData #TechTrends @BankingInsights @AccentureAI @DeepLearn007 @ipfconline1 @jblefevre60 @Fisher85M @MikeQuindazzi @TunstallAsc pic.twitter.com/BdPQgOnqDX	JimMarous	36	46	2018-02-06 16:32:00	960898880891060224	https://twitter.com/JimMarous/status/960898880891060224		#AI #MachineLearning #DeepLearning #BigData #TechTrends	@BankingInsights @AccentureAI @DeepLearn007 @ipfconline1 @jblefevre60 @Fisher85M @MikeQuindazzi @TunstallAsc
	The Transformative Power of Automation in Banking http:// bit.ly/2AvPxEb #banking #automation #robotics #RPA #tech #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @pierrepinna @McKinsey pic.twitter.com/fqBdPfRw1f	JimMarous	6	13	2018-02-06 16:04:00	960891834489651200	https://twitter.com/JimMarous/status/960891834489651200		#banking #automation #robotics #RPA #tech #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @pierrepinna @McKinsey
	Intelligent Banking Organizations Will Destroy Slow Responders. http:// bit.ly/2E5y0Uy #banking #fintech #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer pic.twitter.com/zJ2CUUekcV	JimMarous	24	30	2018-02-06 15:34:37	960884438774272000	https://twitter.com/JimMarous/status/960884438774272000		#banking #fintech #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @pierrepinna @FinancialBrand @Fisher85M @SpirosMargaris @MikeQuindazzi @BrettKing @leimer
	Robotics and Cognitive Automation Required to Keep Banking From Drowning in Data. http:// bit.ly/2rRZ34d #banking #AI #MachineLearning #robotics #TechTrends #BigData #Analytics @DeepLearn007 @ipfconline1 @Fisher85M @DeloitteInsight @leimer @jblefevre60 @BourseetTrading pic.twitter.com/ErMz9ZtZXV	JimMarous	40	42	2018-02-06 15:32:00	960883781933572096	https://twitter.com/JimMarous/status/960883781933572096		#banking #AI #MachineLearning #robotics #TechTrends #BigData #Analytics	@DeepLearn007 @ipfconline1 @Fisher85M @DeloitteInsight @leimer @jblefevre60 @BourseetTrading
	The impact of big data on banking and financial systems http:// bit.ly/2GA0TKi HT @DeepLearn007 #AI #MachineLearning #BigData #TechTrends #Fintech #banking #tech @pierrepinna @psb_dc @Shirastweet @thepsironi @BourseetTrading @KirkDBorne pic.twitter.com/lDJt3eaK3T	JimMarous	36	34	2018-02-06 15:02:00	960876231792013312	https://twitter.com/JimMarous/status/960876231792013312		#AI #MachineLearning #BigData #TechTrends #Fintech #banking #tech	@DeepLearn007 @pierrepinna @psb_dc @Shirastweet @thepsironi @BourseetTrading @KirkDBorne
	AI Everywhere: Surprising Ways We Interact With AI Everyday http:// on.mash.to/2DVmko9 #banking #fintech #AI #MachineLearning #TechTrends #healthtech #BigData #Chatbots @leimer @IBMFinTech @IBMWatson @susvis @chboursin @Visible_Banking @cgledhill @BrettKing pic.twitter.com/LpqZkRJqxx	JimMarous	7	10	2018-02-06 14:32:00	960868682795642880	https://twitter.com/JimMarous/status/960868682795642880		#banking #fintech #AI #MachineLearning #TechTrends #healthtech #BigData #Chatbots	@leimer @IBMFinTech @IBMWatson @susvis @chboursin @Visible_Banking @cgledhill @BrettKing
	Great share from @SpirosMargaris on recent report from @Deloitte on #AI and #MachineLearning . @DeepLearn007 @pierrepinna @psb_dc @Shirastweet @MCins_ https:// twitter.com/SpirosMargaris /status/960762933746814976 …	JimMarous	15	14	2018-02-06 14:16:30	960864782952947712	https://twitter.com/JimMarous/status/960864782952947712		#AI #MachineLearning	@SpirosMargaris @Deloitte @DeepLearn007 @pierrepinna @psb_dc @Shirastweet @MCins_
	2018 is the Year Artificial Intelligence Becomes A Marketer’s Friend http:// bit.ly/2DbrYlO HT @DeepLearn007 #AI #MachineLearning #BigData #Marketing #Digital #DigitalMarketing #CX #martech #tech @MarTechExec @pierrepinna @TamaraMcCleary @Fisher85M @chiefmartec pic.twitter.com/r7PXYJmytj	JimMarous	37	47	2018-02-06 14:02:00	960861132012503041	https://twitter.com/JimMarous/status/960861132012503041		#AI #MachineLearning #BigData #Marketing #Digital #DigitalMarketing #CX #martech #tech	@DeepLearn007 @MarTechExec @pierrepinna @TamaraMcCleary @Fisher85M @chiefmartec
	Does opening up customer data represent a threat or opportunity? http:// bit.ly/2Ayfr90 #OpenBanking @Financialbrand @Deloitte #BigData pic.twitter.com/VF2aVoQhdD	JimMarous	2	8	2018-02-06 13:33:00	960853833973813248	https://twitter.com/JimMarous/status/960853833973813248		#OpenBanking #BigData	@Financialbrand @Deloitte
	The 5 A's of Analytics Transformation http:// accntu.re/2DUfmis #banking #fintech #analytics #AI #MachineLearning #BigData @DeepLearn007 @ipfconline1 @evankirstel @Fisher85M @jblefevre60 @TamaraMcCleary @BankingInsights @AccentureDigi pic.twitter.com/tg5oB6yqfH	JimMarous	28	27	2018-02-06 13:04:00	960846536698548225	https://twitter.com/JimMarous/status/960846536698548225		#banking #fintech #analytics #AI #MachineLearning #BigData	@DeepLearn007 @ipfconline1 @evankirstel @Fisher85M @jblefevre60 @TamaraMcCleary @BankingInsights @AccentureDigi
	The most significant AI trends for fintech in 2018. http:// bit.ly/2nhfGBx #AI #MachineLearning #BigData #TechTrends #banking @StrategyFintech @helene_wpli @BourseetTrading @guzmand @ipfconline1 @fintechna @Shirastweet @Bobsguidedotcom pic.twitter.com/0QI24Gwikk	JimMarous	32	54	2018-02-06 12:36:00	960839489500229632	https://twitter.com/JimMarous/status/960839489500229632		#AI #MachineLearning #BigData #TechTrends #banking	@StrategyFintech @helene_wpli @BourseetTrading @guzmand @ipfconline1 @fintechna @Shirastweet @Bobsguidedotcom
	Market Overview: Interest in AI Exploding. http:// bit.ly/2nsMEyf #AI #MachineLearning #BigData #TechTrends @DeepLearn007 @BrianRoemmele @ipfconline1 @BourseetTrading @leimer @Fisher85M pic.twitter.com/Xdu3rCx5pu	JimMarous	28	37	2018-02-06 12:04:00	960831436252164104	https://twitter.com/JimMarous/status/960831436252164104		#AI #MachineLearning #BigData #TechTrends	@DeepLearn007 @BrianRoemmele @ipfconline1 @BourseetTrading @leimer @Fisher85M
	How Fintech Is Targeting Millennials Using AI And Machine-Learning. http:// bit.ly/2BvvC7p #banking #fintech #millennial #AI #MachineLearning #BigData #TechTrends @DeepLearn007 @pierrepinna @psb_dc @helene_wpli @BourseetTrading @antgrasso pic.twitter.com/ly2Zkgugda	JimMarous	32	44	2018-02-06 11:27:00	960822124461023232	https://twitter.com/JimMarous/status/960822124461023232		#banking #fintech #millennial #AI #MachineLearning #BigData #TechTrends	@DeepLearn007 @pierrepinna @psb_dc @helene_wpli @BourseetTrading @antgrasso
	AI-Human Collaboration and the Future of Work http:// bit.ly/2DxQ755 HT @DeepLearn007 #AI #MachineLearning #Futureofwork #TechTrends #BigData #MarTech #WEF18 @ipfconline1 @pierrepinna @Fisher85M @psb_dc pic.twitter.com/OJ232JU5ro	JimMarous	16	22	2018-02-06 11:03:00	960816085581758464	https://twitter.com/JimMarous/status/960816085581758464		#AI #MachineLearning #Futureofwork #TechTrends #BigData #MarTech #WEF18	@DeepLearn007 @ipfconline1 @pierrepinna @Fisher85M @psb_dc
