bitcoin 	If GHash.io had successfully 51% attacked bitcoin, its price would NOT have dropped to zero. It would have dropped maybe 90% and the core devs would have stayed up a few nights and made an emergency switch to PoS, at which point the price would have partially recovered.	VitalikButerin	21	3	1516653649	955540781015515136	https://twitter.com/VitalikButerin/status/955540781015515136			
	> all the right miners (remaining 49%) sh/would reject the transactions? This only protects against attacks that try to finalize invalid blocks. It does nothing against attacks that revert or prevent consensus.	VitalikButerin	3	1	1516653565	955540426366185472	https://twitter.com/VitalikButerin/status/955540426366185472			
	Government attacker? Banks? Speculator on markets? Someone funded by a competing blockchain?	VitalikButerin	6	2	1516653534	955540297311666176	https://twitter.com/VitalikButerin/status/955540297311666176			
	"Hence ""usually"" :)"	VitalikButerin	8	3	1516653390	955539694116225024	https://twitter.com/VitalikButerin/status/955539694116225024			
	See here: https:// twitter.com/VitalikButerin /status/955483702481612800 …	VitalikButerin	3	2	1516653222	955538987132702721	https://twitter.com/VitalikButerin/status/955538987132702721			
	And the adults understand that extreme far ends of tradeoff curves are pretty much always undesirable	VitalikButerin	1	0	1516641946	955491694350405633	https://twitter.com/VitalikButerin/status/955491694350405633			
	So accepting a 1% issuance rate to avoid a 1% chance of attack per year is actually really not that smart a choice to make, at least if your use of a blockchain is for a cryptocurrency to store your value.	VitalikButerin	194	32	1516641141	955488317025419264	https://twitter.com/VitalikButerin/status/955488317025419264			
	Though with long withdrawal times and well-designed gadgets (bonded service providers, insurance markets, etc) they can be quite a good security/cost tradeoff.	VitalikButerin	123	29	1516641038	955487885276385280	https://twitter.com/VitalikButerin/status/955487885276385280			
	Reminder: if a blockchain fails and recovers, you still have all your assets, unless they were in channels and loss of liveness during the attack enabled an attack on the channel. It's not 100% truly fully yours unless it's on-chain; channels are already a security/cost tradeoff.	VitalikButerin	193	51	1516640975	955487619139416064	https://twitter.com/VitalikButerin/status/955487619139416064			
	There are opportunities to improve things with better technology, for example things like https:// ethresear.ch/t/censorship-r ejection-through-suspicion-scores/305 … can do 80% of the work of social coordination automatically, making it easier to use against attacks and harder to abuse for other ends.	VitalikButerin	103	36	1516640826	955486995844947968	https://twitter.com/VitalikButerin/status/955486995844947968			
	After all, minimizing use of the social layer *is* what blockchains are about. But reducing it to zero has infinite cost, and so there are real tradeoffs between minimizing the social layer and minimizing cost.	VitalikButerin	159	32	1516640680	955486382004342784	https://twitter.com/VitalikButerin/status/955486382004342784			
	Now the second question. Now that we know 51% attacks are survivable, can we try to estimate the cost of one? I see two main factors: 1. Cost of loss of service during the attack itself 2. Cost of giving the social layer too much power by over-actively using it	VitalikButerin	99	20	1516640592	955486014264537089	https://twitter.com/VitalikButerin/status/955486014264537089			
	But they'll live on because of much smaller transaction fees. It's cities vs villages all over again; always tradeoffs.	VitalikButerin	5	1	1516640413	955485264255778820	https://twitter.com/VitalikButerin/status/955485264255778820			
	Though an important question is, how easy or hard is this? IMO it's much harder in PoW than PoS, and so PoS can achieve the same level of reliability in practice with a higher frequency of attacks, and hence can survive with a quite low cost of consensus	VitalikButerin	128	25	1516640363	955485054997880832	https://twitter.com/VitalikButerin/status/955485054997880832			
bitcoin 	And yes, in either PoW or PoS, this WILL happen. The idea that if a 51% spawn camp attack happens, all $190b of bitcoin's users will just pack up their bags and leave is absurd; way too much incentive to coordinate and try to continue the ledger.	VitalikButerin	141	31	1516640284	955484722301423617	https://twitter.com/VitalikButerin/status/955484722301423617			
	In PoS, you can recover from 51% attacks by coordinating a minority UASF, and the community can do this an unlimited number of times, but out-of-band coordination is still required.	VitalikButerin	114	29	1516640196	955484353206906883	https://twitter.com/VitalikButerin/status/955484353206906883			
	"For example, if a 51% attack on PoW happens, then the attacker likely has enough hardware to keep doing it forever (""spawn camp attack""), so the community has to change the PoW algorithm to ""delete"" everyone's ASICs."	VitalikButerin	114	26	1516640148	955484153952292865	https://twitter.com/VitalikButerin/status/955484153952292865			
	To be clear: I define a blockchain failure as any situation that causes the blockchain to not fulfill its basic guarantees that is bad enough and unrecoverable in-protocol, and so requires out-of-band coordination among users to move on.	VitalikButerin	115	20	1516640041	955483702481612800	https://twitter.com/VitalikButerin/status/955483702481612800			
	I will make the usual behavioral economics caveat that what people say they want in surveys and what people can be deduced to actually want from their actions are very different, but that just means that the public discourse on this topic is warped and doesn't reflect reality.	VitalikButerin	158	27	1516639948	955483313732538371	https://twitter.com/VitalikButerin/status/955483313732538371			
	Exhibit 1: people are apparently willing to accept basically exactly the same failure rate to avoid 1% issuance as they are to avoid 5% issuance. https:// twitter.com/VitalikButerin /status/955255508700712960 … https:// twitter.com/VitalikButerin /status/955275252174544896 …	VitalikButerin	77	18	1516639869	955482982453796864	https://twitter.com/VitalikButerin/status/955482982453796864			
	My conclusion from yesterday's polls: people have very underdeveloped intuitions about how bad various kinds of 51% attacks on blockchains are and how easy or hard they are to recover from, and tradeoffs between security margin and cost.	VitalikButerin	1228	309	1516639814	955482751750361088	https://twitter.com/VitalikButerin/status/955482751750361088			
	You're very finney.	VitalikButerin	132	2	1516637586	955473405276454912	https://twitter.com/VitalikButerin/status/955473405276454912			
	What's VeChain? (exagerrating a bit, but seriously, I've never talked about it)	VitalikButerin	58	6	1516637569	955473335999258624	https://twitter.com/VitalikButerin/status/955473335999258624			
	"The usual scammer story is that ""my laptop literally died"" and I have no way to access funds from my cold wallet until a week from now. Don't believe it or anything like it."	VitalikButerin	50	7	1516637413	955472678697226242	https://twitter.com/VitalikButerin/status/955472678697226242			
	If you get an email that looks like it's from me asking for ETH, please do NOT send. Either contact me first or if you're lazy just assume it's a fraud.	VitalikButerin	2318	478	1516637220	955471871285358592	https://twitter.com/VitalikButerin/status/955471871285358592			
	The tradeoffs exist in both PoW and PoS.	VitalikButerin	10	3	1516591015	955278074983145472	https://twitter.com/VitalikButerin/status/955278074983145472			
	When the amount of security people are willing to give up to cut issuance is the same regardless of whether it's cutting 1% or 5%, then you know there's no serious weighing of tradeoffs going on	VitalikButerin	24	4	1516590833	955277310583853056	https://twitter.com/VitalikButerin/status/955277310583853056			
	Yep! You can reduce block rewards, which cuts issuance but increases chance of 51% attacks.	VitalikButerin	16	4	1516590726	955276859922665473	https://twitter.com/VitalikButerin/status/955276859922665473			
	The purpose of poll #3 was to figure out to what extent that's the case. So far, it looks like you're right.	VitalikButerin	30	1	1516590656	955276565348339713	https://twitter.com/VitalikButerin/status/955276565348339713		#3	
	Most specifically, I'm thinking of situations that are serious enough to require community-coordinated intervention.	VitalikButerin	26	1	1516590619	955276411887071232	https://twitter.com/VitalikButerin/status/955276411887071232			
	Successful censorship or tx reversal as a result of a 51% attack.	VitalikButerin	17	1	1516590572	955276216440950785	https://twitter.com/VitalikButerin/status/955276216440950785			
	Blockchain security/cost tradeoff poll #3. Suppose you had to choose between: (i) a blockchain/cryptocurrency with a failure rate X, and no issuance (ii) a bc/ccy with zero failure rate, but 5% annual issuance What is the highest failure rate for which you would choose (i) ?	VitalikButerin	182	74	1516590342	955275252174544896	https://twitter.com/VitalikButerin/status/955275252174544896		#3	
