currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin 	In the future, looking at the # Bitcoin chart, the move from $400 to $5,000 won't stand out much as the price tops $100,000. Fiat's dead.	maxkeiser	352	159	1504039574	902633513329074176	https://twitter.com/maxkeiser/status/902633513329074176		#		0.19	-0.069	0.9699358186986341	1.0
bitcoin 	Looks like cartel smashes Gold below $1,300. Gold buyers should buy # Bitcoin up to $10,000 then park some profits in Gold (if you must).	maxkeiser	102	42	1504038736	902629998351278084	https://twitter.com/maxkeiser/status/902629998351278084		#		0.16	0.4008	0.9699358186986341	1.0
bitcoin 	# YNot10K # Bitcoin	maxkeiser	59	9	1504025645	902575090109366277	https://twitter.com/maxkeiser/status/902575090109366277		# #		0.50	0.0	0.9699358186986341	1.0
bitcoin 	# Bitcoin gets fatter (price goes higher) as it gobbles up fiat. It's the 'white blood cells' of currency. The disease of fiat will end.	maxkeiser	160	69	1504019731	902550286283223040	https://twitter.com/maxkeiser/status/902550286283223040		#		0.28	0.0	0.9699358186986341	1.0
bitcoin 	# Bitcoin's volatility is a reflection of global rejection of USD. Expect more BTC volatility (and higher prices) as USD collapses.	maxkeiser	122	63	1504015012	902530494046367744	https://twitter.com/maxkeiser/status/902530494046367744		#		0.05	-0.4192	0.9699358186986341	1.0
bitcoin 	# Bitcoin will probably break $5,000 this week, starting a new media blitz, creating new wave of buyers who'll power price toward $10,000.	maxkeiser	718	354	1504011568	902516048351686657	https://twitter.com/maxkeiser/status/902516048351686657		#		0.35	0.296	0.9699358186986341	1.0
bitcoin 	Visa cards: Worthless plastic subsidized by Fed to enrich crooks who badmouth # Bitcoin.	maxkeiser	100	27	1503959815	902298980016693249	https://twitter.com/maxkeiser/status/902298980016693249		#		0.07	-0.4404	0.9963828885817073	-1.0
bitcoin 	Gold is outperforming # Bitcoin this instant.pic.twitter.com/cGD0kU5LPw	maxkeiser	74	21	1503959471	902297538656694272	https://twitter.com/maxkeiser/status/902297538656694272		#		0.43	0.0	0.9963828885817073	-1.0
bitcoin 	Taking cue from # Bitcoin, Gold moving higher; breaks out of 7 yr bear trend. # Buy	maxkeiser	63	25	1503958223	902292303603224576	https://twitter.com/maxkeiser/status/902292303603224576		# #		0.00	0.0	0.9963828885817073	-1.0
bitcoin 	# Bitcoin moving higher attracting safe haven money on news of North Korea's missile launch over Japan. # Buy	maxkeiser	178	92	1503958079	902291700298723328	https://twitter.com/maxkeiser/status/902291700298723328		# #		-0.11	0.3592	0.9963828885817073	-1.0
bitcoin 	I support @ wences. He is a true Bitcoin believer and got me into Bitcoin. His decision matters most to me.	VinnyLingham	3	0	1504036187	902619309150801920	https://twitter.com/VinnyLingham/status/902619309150801920			@	0.24	0.2831	0.9699358186986341	1.0
bitcoin 	Is this another HF like Bitcoin Cash?	SatoshiLite	9	1	1504025624	902575001500450816	https://twitter.com/SatoshiLite/status/902575001500450816				0.29	0.3612	0.9699358186986341	1.0
bitcoin litecoin 	Bitcoin all time high. Litecoin all time high. Life is good!	SatoshiLite	2923	698	1504024730	902571252140744706	https://twitter.com/SatoshiLite/status/902571252140744706				0.73	0.1642	0.9699358186986341	1.0
bitcoin 	Bitcoin Q&A: Will governments ban cryptocurrencies?https://youtu.be/LIQkuF_I5Xo	aantonop	225	119	1504030501	902595457607716864	https://twitter.com/aantonop/status/902595457607716864				0.17	-0.5574	0.9699358186986341	1.0
bitcoin 	Learning about this # bitcoin thing.pic.twitter.com/psNaEUXdkW	ummjackson	21	0	1503977632	902373710350270467	https://twitter.com/ummjackson/status/902373710350270467		#		0.50	0.0	0.9699358186986341	1.0
bitcoin ethereum 	“Fukuyama’s Revenge: Can Distributed Computing Help Reclaim Human Liberty?” by @ seven7hwave https://extranewsfeed.com/fukuyamas-revenge-can-distributed-computing-help-reclaim-human-liberty-14822abe747f … # bitcoin # ethereum	ErikVoorhees	21	7	1504018626	902545651421949954	https://twitter.com/ErikVoorhees/status/902545651421949954		# #	@	0.47	-0.1779	0.9699358186986341	1.0
bitcoin 	Bitcoin Price Set New All-Time High Above $4,700. GlobalBoost is ours, do u know any1 else with a # Blockchain? $ BSTYhttp://bit.ly/2iFZQR2  – bei North Lawn - White House	NetworksManager	16	20	1504031072	902597852194590725	https://twitter.com/NetworksManager/status/902597852194590725		#		0.55	0.0	0.9699358186986341	1.0
bitcoin 	2.90 MH/s computing power on GlobalBoost # Blockchain Difficulty .404 # Android $ BSTY http://emmegirls.tumblr.com/post/164753476605/miningglobalboostbstyandroidneoneonminer … # Bitcoinpic.twitter.com/4ZQ4ZVvy0e	NetworksManager	4	8	1504026003	902576593448689665	https://twitter.com/NetworksManager/status/902576593448689665		# # #		0.18	-0.34	0.9699358186986341	1.0
bitcoin 	Mexico, like Vietnam+handful of other countries, is preparing to introduce legislation to regulate # Blockchain $ BSTYhttp://www.zerohedge.com/news/2017-08-28/banxico-chief-bitcoin-should-be-treated-commodity …	NetworksManager	24	31	1503960974	902303842884345856	https://twitter.com/NetworksManager/status/902303842884345856		#		0.24	0.3612	0.9963828885817073	-1.0
bitcoin 	Western Union has been cheaper than # Bitcoin... https://twitter.com/haydentiff/status/784034302141005824 …https://twitter.com/oksurvivor/status/902579823033421824 …	haydentiff	25	9	1504027403	902582466791313408	https://twitter.com/haydentiff/status/902582466791313408		#		0.56	0.0	0.9699358186986341	1.0
bitcoin 	There isn't any possible way to reverse the ledger. The same is not true for Bitcoin.	haydentiff	0	0	1503984618	902403011259113472	https://twitter.com/haydentiff/status/902403011259113472				0.12	-0.1626	0.9699358186986341	1.0
bitcoin 	I'm not sure why you're taking the existence of # BitcoinCash so personally. I can't help you. I'm sorry.	haydentiff	0	0	1503984513	902402570949447681	https://twitter.com/haydentiff/status/902402570949447681		#		0.11	-0.2091	0.9699358186986341	1.0
bitcoin ripple 	So really, Ripple is more immutable and more censorship resistant than Bitcoin.	haydentiff	2	0	1503983862	902399838804996097	https://twitter.com/haydentiff/status/902399838804996097				0.17	0.0	0.9699358186986341	1.0
bitcoin ripple 	In Bitcoin, nothing prevents miners from censoring transactions. The same is not true for Ripple.	haydentiff	0	0	1503983795	902399559720202240	https://twitter.com/haydentiff/status/902399559720202240				0.00	-0.1912	0.9699358186986341	1.0
bitcoin 	This was a good paper re: Bitcoin centralizationhttps://policyreview.info/articles/analysis/invisible-politics-bitcoin-governance-crisis-decentralised-infrastructure …	haydentiff	0	1	1503983034	902396369398370305	https://twitter.com/haydentiff/status/902396369398370305				0.25	0.4404	0.9699358186986341	1.0
bitcoin ripple 	Fortunately, Ripple is helping with Lightning as well:https://www.coindesk.com/lightning-bank-ledgers-bitfury-ripple-demo-new-twist-bitcoin-tech/ …	haydentiff	3	0	1503981668	902390637034700801	https://twitter.com/haydentiff/status/902390637034700801				0.38	0.5106	0.9699358186986341	1.0
bitcoin 	Centralize Bitcoin to a single satellite operator under Blockstream's control?	haydentiff	1	0	1503978763	902378454112497664	https://twitter.com/haydentiff/status/902378454112497664				0.30	0.0	0.9699358186986341	1.0
bitcoin 	YOU read more. Current nodes are at risk of routing attacks. 3 ISPs can see 60% of all Bitcoin traffic. Worry about that.	haydentiff	2	0	1503978204	902376107558699011	https://twitter.com/haydentiff/status/902376107558699011				0.00	-0.2632	0.9699358186986341	1.0
bitcoin 	Take a look at this:https://chrispacia.wordpress.com/2017/06/09/bitcoin-cannot-be-only-a-store-of-value/amp/ …	haydentiff	6	3	1503974089	902358851030319105	https://twitter.com/haydentiff/status/902358851030319105				0.00	0.0	0.9699358186986341	1.0
bitcoin 	I'm rooting for # BitcoinCash. (XRP isn't consumer-friendly, as of now.)	haydentiff	12	2	1503967060	902329367295963137	https://twitter.com/haydentiff/status/902329367295963137		#		0.18	0.0	0.9699358186986341	1.0
bitcoin ripple 	I get that you're excited about 2nd layer solutions. I'm happy that Ripple & Interledger will provide this for you.https://www.coindesk.com/lightning-bank-ledgers-bitfury-ripple-demo-new-twist-bitcoin-tech/ …	haydentiff	4	1	1503966068	902325208962486272	https://twitter.com/haydentiff/status/902325208962486272				0.60	0.3495	0.9699358186986341	1.0
bitcoin 	I had what I wanted in 2012, 2013, 2014, 2015, and some of 2016. But 2017 requires second layer solutions, unless you use # Bitcoincash.	haydentiff	3	0	1503965247	902321762355953664	https://twitter.com/haydentiff/status/902321762355953664		#		-0.08	0.089	0.9699358186986341	1.0
bitcoin 	I can't afford Bitcoin transaction fees but I can afford # BitcoinCash transaction fees.	haydentiff	7	3	1503964138	902317111061688321	https://twitter.com/haydentiff/status/902317111061688321		#		0.29	0.0	0.9963828885817073	-1.0
bitcoin 	I don't hate # Bitcoin. I'm disappointed that the fees exclude 71% of the world's population from using it.https://twitter.com/stewartwebb12/status/902311804994338816 …	haydentiff	133	43	1503963015	902312401441316865	https://twitter.com/haydentiff/status/902312401441316865		#		-0.21	-0.0513	0.9963828885817073	-1.0
bitcoin 	I don't know what gave you this impression. I don't hate # BitcoinCash. I am very supportive of it.https://twitter.com/stewartwebb12/status/902307628616867840 …	haydentiff	11	0	1503962830	902311627860709376	https://twitter.com/haydentiff/status/902311627860709376		#		0.00	0.2743	0.9963828885817073	-1.0
bitcoin 	But basically no dependable/robust secure code came out of ICO/alt funds (with a few exceptions). Capital efficiency 100x worse than Bitcoin	adam3us	21	1	1504021338	902557025321664513	https://twitter.com/adam3us/status/902557025321664513				-0.33	-0.0508	0.9699358186986341	1.0
bitcoin 	A Brief History of # Blockchain. So much more than # bitcoin http://j.mp/2mzpeoS # fintech # business # future # data	WarrenWhitlock	10	10	1504023710	902566976538664960	https://twitter.com/WarrenWhitlock/status/902566976538664960		# # # # # #		0.24	0.0	0.9699358186986341	1.0
bitcoin 	Bitcoin was just the beginning. There's much more coming from # blockchain # technologyhttps://twitter.com/jonnyfry175/status/902449184221134848 …	WarrenWhitlock	8	5	1504018628	902545660003495936	https://twitter.com/WarrenWhitlock/status/902545660003495936		# #		0.07	0.0	0.9699358186986341	1.0
bitcoin 	A Brief History of # Blockchain. So much more than # bitcoin http://j.mp/2mzpeoS # fintech # business # future # data	WarrenWhitlock	22	17	1503987708	902415973290057728	https://twitter.com/WarrenWhitlock/status/902415973290057728		# # # # # #		0.24	0.0	0.9699358186986341	1.0
bitcoin 	Mining BTC/BCH: Past, Present and Future -https://bitcointechtalk.com/mining-btc-bch-past-present-and-future-e9432315aa47 …	jimmysong	87	40	1503957714	902290167955894272	https://twitter.com/jimmysong/status/902290167955894272				-0.14	0.0	0.9963828885817073	-1.0
bitcoin 	# TDV # Quotes # Bitcoin https://dollarvigilante.com/2tt pic.twitter.com/ffME67m1Ke	DollarVigilante	6	96	1504027167	902581474439856129	https://twitter.com/DollarVigilante/status/902581474439856129		# # #		0.43	0.0	0.9699358186986341	1.0
bitcoin 	WannaCry Ransomware Virus Is a Globalist False Flag Attack On Bitcoin. # Bitcoin # Wannacry # NSA https://dollarvigilante.com/blog/2017/05/17/wannacry-ransomware-virus-is-a-globalist-false-flag-attack-on-bitcoin.html …pic.twitter.com/Vat89waxKq	DollarVigilante	10	126	1504022904	902563596105793536	https://twitter.com/DollarVigilante/status/902563596105793536		# # #		0.17	-0.2384	0.9699358186986341	1.0
bitcoin 	IRS wants your # Bitcoin information. Subscribe here--> https://dollarvigilante.com/2tt pic.twitter.com/qHRQXd7PL0	DollarVigilante	3	102	1504017635	902541495374372866	https://twitter.com/DollarVigilante/status/902541495374372866		#		0.11	0.0	0.9699358186986341	1.0
bitcoin 	Hospital Bill in 2025. # Bitcoin # Dollar Our Newsletter--> https://dollarvigilante.com/subscribe?cfid=179 …pic.twitter.com/uXrufg9X27	DollarVigilante	27	112	1504016736	902537724393029636	https://twitter.com/DollarVigilante/status/902537724393029636		# #		0.36	0.0	0.9699358186986341	1.0
bitcoin 	25,000 # bitcoin would buy 5 pizzas in 2010, today it's worth $100 million! # cryptocurrency # blockchain # fintech # payments # mobilewalletpic.twitter.com/WTIW8bxv1J	sbmeunier	28	35	1503989891	902425126490304513	https://twitter.com/sbmeunier/status/902425126490304513		# # # # # #		0.17	0.1471	0.9699358186986341	1.0
bitcoin 	25,000 # bitcoin would buy 5 pizzas in 2010, today it's worth $100 million! # cryptocurrency # blockchain # fintech # payments # mobilewalletpic.twitter.com/dg9ZkontV3	sbmeunier	19	23	1503981564	902390203209457664	https://twitter.com/sbmeunier/status/902390203209457664		# # # # # #		0.17	0.1471	0.9699358186986341	1.0
bitcoin 	Russian Regulator Wants to Keep Bitcoin Away from the Public https://www.cryptocoinsnews.com/?p=114438  via @ CryptoCoinsNews	thomaspower	4	2	1504034091	902610515838382080	https://twitter.com/thomaspower/status/902610515838382080			@	0.14	0.0	0.9699358186986341	1.0
bitcoin 	Australian Regulators Reform Bitcoin Laws https://buff.ly/2vfiTn2 pic.twitter.com/VNqumzp0hj	obussmann	0	1	1504005661	902491273319370757	https://twitter.com/obussmann/status/902491273319370757				0.00	0.0	0.9699358186986341	1.0
bitcoin 	I’m working on an ICO for carrying out an undertaking of great advantage, but nobody to know what it is. Who’s in? Send Bitcoin to…pic.twitter.com/9vv2kL5slS	dgwbirch	22	7	1503995449	902448438243184641	https://twitter.com/dgwbirch/status/902448438243184641				0.40	0.1559	0.9699358186986341	1.0
bitcoin 	Why # QuantumComputing's Threat To # Bitcoin And # Blockchain Is A Long Way Off https://www.forbes.com/sites/amycastor/2017/08/25/why-quantum-computings-threat-to-bitcoin-and-blockchain-is-a-long-way-off/#53daa7442882 … # DLT # fintech @ ipfconline1pic.twitter.com/YlAwbtLxAF	AntonioSelas	55	72	1503999135	902463899198382080	https://twitter.com/AntonioSelas/status/902463899198382080		# # # #53daa7442882 # #	@	0.50	-0.5267	0.9699358186986341	1.0
bitcoin 	9/ A p2p value transfer network (Bitcoin, 2008) was unlikely before porting the idea a centralized value transfer network (SWIFT, 1974).	FEhrsam	37	3	1504027715	902583772649897984	https://twitter.com/FEhrsam/status/902583772649897984				-0.33	0.5859	0.9699358186986341	1.0
bitcoin 	Wake up & see who has been toxic for years, who has refused compromise for years, who views disagreement as a couphttp://spectrum.ieee.org/tech-talk/computing/networks/the-bitcoin-for-is-a-coup …	jgarzik	41	8	1503970229	902342661599895552	https://twitter.com/jgarzik/status/902342661599895552				0.36	-0.5719	0.9699358186986341	1.0
bitcoin 	"Eventually you will wake up and realize how coordinated, toxic behavior rests at the center of Bitcoin dev, dictating defn. of ""consensus"""	jgarzik	35	8	1503970002	902341707441811457	https://twitter.com/jgarzik/status/902341707441811457				0.23	0.0	0.9699358186986341	1.0
bitcoin 	Hilarious. Bitcoin Core: Complains about other projects not being open; yet blocks & attacks those who disagree.pic.twitter.com/qR3ICJx7LL	jgarzik	143	49	1503961048	902304153195737089	https://twitter.com/jgarzik/status/902304153195737089				0.29	-0.1744	0.9963828885817073	-1.0
bitcoin 	Lucky me!!! Signed copy of Before Babylon, Beyond # Bitcoin by the one and only @ dgwbirch pic.twitter.com/LfSGhdmi9t	DianacBiggs	12	1	1504036957	902622537775022081	https://twitter.com/DianacBiggs/status/902622537775022081		#	@	0.17	0.2842	0.9699358186986341	1.0
bitcoin 	Familiar pattern for the umpteenth time. I could be wrong but it doesn't feel like # bitcoin wants to break out this time.pic.twitter.com/EB7AFnMSBJ	TonyGallippi	11	5	1503969914	902341340813504514	https://twitter.com/TonyGallippi/status/902341340813504514		#		-0.13	-0.287	0.9699358186986341	1.0
bitcoin 	The Bitcoin Price Just Set a New All-Time High Above $4,700 http://bit.ly/2iFZQR2  via @ CoinDesk	katie_haun	2	0	1504027836	902584282576592897	https://twitter.com/katie_haun/status/902584282576592897			@	0.53	0.0	0.9699358186986341	1.0
bitcoin ethereum 	Lots of reports coming in of long transaction confirmation delays on Ethereum. This is your opportunity, Bitcoin Cash supporters! pic.twitter.com/cEcpTOOkWn	lopp	65	10	1504037872	902626374820749312	https://twitter.com/lopp/status/902626374820749312				0.10	0.2392	0.9699358186986341	1.0
bitcoin 	Want to code? Any school w/ strong CS degree would be great. Then find interesting projects & contribute! Resources: http://lopp.net/bitcoin.html	lopp	2	0	1504037221	902623643628396550	https://twitter.com/lopp/status/902623643628396550				0.35	0.3368	0.9699358186986341	1.0
