currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin 	Starting at 2:52 of vid > Satoshi White Paper in context of internet revolution. Excellent presentation. # Bitcoin (core) has the best talent, best tech, brightest future. @ starkness https://www.youtube.com/watch?v=3PcR4HWJnkY&sns=tw …pic.twitter.com/m6Q1VRVKvP	maxkeiser	100	38	1522020846	978052434026205191	https://twitter.com/maxkeiser/status/978052434026205191		#	@	1.23	0.3792	0.95648974	-1.0
bitcoin 	That's right. Bitcoin Cash (bcash) has never been pumped or dumped. SMH	SatoshiLite	40	1	1522083775	978316380243091456	https://twitter.com/SatoshiLite/status/978316380243091456				0.00	-0.24	0.9691208	1.0
bitcoin 	Looking good for Bitcoin:https://www.inverse.com/article/42803-bitcoin-cryptocurrency-expert-prediction …	officialmcafee	2411	969	1522081316	978306062716686337	https://twitter.com/officialmcafee/status/978306062716686337				1.25	0.4404	0.97270435	-1.0
bitcoin 	Bitcoin Infrastructure Phase.https://twitter.com/APompliano/status/977973074401382401 …	TuurDemeester	122	34	1522023891	978065206436868098	https://twitter.com/TuurDemeester/status/978065206436868098				0.33	0.0	0.97691184	-1.0
bitcoin 	I've had 3 people offer me 200k Bitcoin. There is clearly a massive seller around! Mt Gox?	cryptomanran	143	19	1522089416	978340037875064832	https://twitter.com/cryptomanran/status/978340037875064832				0.00	0.1525	0.97434276	-1.0
bitcoin 	I have one step left before they let me out of purgatory. # startup # Bitcoin Check out my profile on @ ProductHunthttps://www.producthunt.com/@haydentiff	haydentiff	20	4	1522096308	978368946360537094	https://twitter.com/haydentiff/status/978368946360537094		# #	@ @haydentiff	0.09	0.0	0.95235354	-1.0
bitcoin 	I was thinking about this post a lot over the weekend. I want to do more outreach this summer, especially on college campuses. Our Bitcoin meetups have grown so much, but not with the under 22yo crowd for some reason.	haydentiff	4	1	1522077565	978290331182665728	https://twitter.com/haydentiff/status/978290331182665728				0.25	0.1335	0.96916324	1.0
bitcoin 	As the 'Mom of Bitcoin,' I would have to disagree.pic.twitter.com/psOHgEQ1tf	stacyherbert	1	0	1522083292	978314351642861568	https://twitter.com/stacyherbert/status/978314351642861568				0.00	0.0	0.9475784	-1.0
bitcoin litecoin ethereum 	Bitcoin, Litecoin, Ethereum, ZCash, Monero, etc have never had to advertise.	stacyherbert	3	1	1522081328	978306113052594176	https://twitter.com/stacyherbert/status/978306113052594176				0.00	0.0	0.972506	1.0
bitcoin 	Bitcoin doesn't have a marketing team so won't have any impact on the one crypto I'm interested in personally. Re: the ICOs, while I'm not interested in them, I assume any that had to advertise was probably a scam anyway so good decision by TWTR.	stacyherbert	20	2	1522076975	978287858921426944	https://twitter.com/stacyherbert/status/978287858921426944				0.20	-0.0064	0.9671536	-1.0
bitcoin 	https://github.com/bitcoin/bips/blob/master/bip-0002.mediawiki …	jimmysong	1	0	1522100140	978385017289101312	https://twitter.com/jimmysong/status/978385017289101312				0.00	0.0	0.9648609	1.0
bitcoin 	I'd go further. Many of those kids have kept track of Bitcoin since then. That kind of mindshare is worth way more than $100. If even one of them ends up being close to the next Alex Morcos or Liz Stark or Tuur Demeester, it's well worth it IMO.	jimmysong	20	0	1522019294	978045925242253312	https://twitter.com/jimmysong/status/978045925242253312				0.24	0.1713	0.97452635	-1.0
bitcoin 	@ block8_io @ BetterTraderPro @ bitcoinislife - Welcome to my community, looking forward to your tweets! :)	dinisguarda	0	0	1522099812	978383642790711296	https://twitter.com/dinisguarda/status/978383642790711296			@ @ @	0.24	0.484	0.957947	-1.0
bitcoin 	“I think the fact that within the bitcoin universe an algorithm replaces the functions of [the government]… is actually pretty cool.” @ AlGore 12 # Bitcoin and # Blockchain Thoughts and # Quotes You Need to Read https://www.intelligenthq.com/finance/12-bitcoin-and-blockchain-thoughts-and-quotes-you-need-to-read/ … via @ intelligenthqpic.twitter.com/unnGYGghN5	dinisguarda	8	12	1522031051	978095235829063681	https://twitter.com/dinisguarda/status/978095235829063681		# # #	@ @	0.22	0.4939	0.93119925	-1.0
bitcoin 	launching today: Business + Coffee. every day at 2pm on @ YahooFinance I tell you about 3 news stories I'm following-- in 60 seconds. while drinking coffee. topics I like: sports and money; bitcoin and blockchain; print and digital media; big tech; mergers. see you at 2pm!pic.twitter.com/Pw0UaW4pxB	readDanwrite	12	1	1522073188	978271973540356096	https://twitter.com/readDanwrite/status/978271973540356096			@	0.04	0.0722	0.9595215	-1.0
bitcoin 	Entrepreneurs plan to build Britain's biggest # bitcoin farm # fintech # blockchain # cryptocurrency MT @ cgledhill https://www.telegraph.co.uk/technology/2018/03/17/entrepreneurs-plan-build-britains-biggest-bitcoin-farm/ …pic.twitter.com/po20xWJk7Y	sbmeunier	2	5	1522041432	978138778505285632	https://twitter.com/sbmeunier/status/978138778505285632		# # # #	@	0.26	0.0	0.9785095	1.0
bitcoin 	Israel Officially Declares # Bitcoin $ BTC Is NOT a Security https://news.bitcoin.com/israel-declares-bitcoin-is-not-a-security/ … via @ BTCTN	thomaspower	11	7	1522072002	978266997468356609	https://twitter.com/thomaspower/status/978266997468356609		#	@	0.27	0.34	0.96852356	-1.0
bitcoin 	How would you know that? # Bitcoin ownership is not connected to any country. Where do you get this from?	SimonDixonTwitt	3	1	1522037362	978121708291874816	https://twitter.com/SimonDixonTwitt/status/978121708291874816		#		0.10	0.0	0.9703169	-1.0
bitcoin 	But Bitcoin is backed by electricity anyway.	SimonDixonTwitt	1	2	1522037135	978120755446607872	https://twitter.com/SimonDixonTwitt/status/978120755446607872				0.00	0.0258	0.96535957	-1.0
bitcoin 	Bitcoin is backed by selectricity at least.	SimonDixonTwitt	1	0	1522036888	978119720061698049	https://twitter.com/SimonDixonTwitt/status/978119720061698049				0.43	0.0258	0.95965487	-1.0
bitcoin 	Bitcoin is backed by electricity. Other currencies have no resource backing them so seems this is the closest to meeting your definition of a ‘true currency’ no?	SimonDixonTwitt	1	0	1522036803	978119363080347648	https://twitter.com/SimonDixonTwitt/status/978119363080347648				0.22	-0.2424	0.9556942	1.0
bitcoin 	Wow. I stopped hearing that in 2014. If you care to look at the economics of Bitcoin you will find nothing that resembles a pyramid scheme. You looked at the economics yet or you just read a headline? https://youtu.be/xkBpUL1VDKU	SimonDixonTwitt	10	3	1522035991	978115959767486465	https://twitter.com/SimonDixonTwitt/status/978115959767486465				0.21	0.2134	0.9645515	-1.0
