currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin 	“Since I started mining # Bitcoin I’m less paranoid and see the world differently”. — Kimpic.twitter.com/8LLmZNE3T3	maxkeiser	1072	313	1520699592	972510696100462593	https://twitter.com/maxkeiser/status/972510696100462593		#		-0.06	-0.0898	0.96975535	-1.0
bitcoin 	It would be the real Bitcoin as Satoshi intended.	SatoshiLite	26	3	1520665756	972368775348736000	https://twitter.com/SatoshiLite/status/972368775348736000				0.00	0.0	0.9618875	1.0
bitcoin 	Ok, sorry for the misunderstanding. It was a joke. Would be stupid to call it Bitcoin Lite. Only said it because of Bitcoin Cash.	SatoshiLite	17	2	1520664847	972364962487250945	https://twitter.com/SatoshiLite/status/972364962487250945				-0.21	-0.1142	0.95848334	-1.0
bitcoin ethereum 	The lead engineer of the KeepKey hardware wallet changed his last name to Hodler. Ken Hodler, you da man. @ cryptokeepkey # bitcoin # ethereum	ErikVoorhees	392	81	1520699946	972512176958144512	https://twitter.com/ErikVoorhees/status/972512176958144512		# #	@	0.12	0.0	0.98073274	-1.0
bitcoin 	ICO teams are holding 3.4% of current ETH supply, now facing regulatory pressure and lower prices. Equivalent to 2014 Bitcoin mining margin squeeze?https://twitter.com/CarpeNoctom/status/972189609806348289 …	TuurDemeester	82	29	1520665496	972367683139317760	https://twitter.com/TuurDemeester/status/972367683139317760				0.04	-0.1756	0.94566387	-1.0
bitcoin ripple 	Bitcoin succeeded despite some people NOT using it for gambling or drugs. And there are at least 2 companies working with Ripple that have publicly stated they use $ XRP, btw.https://twitter.com/haydentiff/status/969291182642692104?s=21 …	haydentiff	2	0	1520713271	972568069922066433	https://twitter.com/haydentiff/status/972568069922066433				0.19	0.1405	0.9684663	-1.0
bitcoin 	Wall Street Analyst Creates ‘Bitcoin Misery Index’ For Traders · Cryptosumer http://j.mp/2FsbES5 # Blockchain # btc # cryptocurrencypic.twitter.com/ozZmZnoK9j	WarrenWhitlock	2	1	1520701621	972519203365441536	https://twitter.com/WarrenWhitlock/status/972519203365441536		# # #		0.33	-0.3818	0.96848327	-1.0
bitcoin 	Wall Street Analyst Creates ‘Bitcoin Misery Index’ For Traders · Cryptosumer https://plus.google.com/+WarrenWhitlock/posts/JnU2oBDekCy …pic.twitter.com/om5cXDPyg1	WarrenWhitlock	2	2	1520699732	972511280300019713	https://twitter.com/WarrenWhitlock/status/972511280300019713				0.25	-0.3818	0.97393495	-1.0
bitcoin 	What Will # Bitcoin Look Like in Twenty Years? # blockchain # cryptocurrencieshttps://hackernoon.com/what-will-bitcoin-look-like-in-twenty-years-7e75481a798c …	dinisguarda	0	0	1520703953	972528985467957249	https://twitter.com/dinisguarda/status/972528985467957249		# # #		0.46	0.1806	0.96960855	-1.0
bitcoin 	Report Shows Egypt is Covertly Mining Cryptocurrency on Citizens’ Computers https://news.bitcoin.com/report-shows-egypt-is-covertly-mining-cryptocurrency-on-citizens-computers/ … via @ BTCTN	thomaspower	0	1	1520715266	972576434437976071	https://twitter.com/thomaspower/status/972576434437976071			@	0.29	0.0	0.9636004	-1.0
bitcoin 	http://Bitcoin.com ’s CEO Roger Ver and COO Mate Tokay Join http://XinFin.io  Advisory Board https://news.bitcoin.com/pr-bitcoin-coms-ceo-roger-ver-and-coo-mate-tokay-join-xinfin-io-advisory-board/ … via @ BTCTN	thomaspower	1	1	1520681972	972436789314105344	https://twitter.com/thomaspower/status/972436789314105344			@	0.19	0.296	0.9785533	-1.0
bitcoin 	Nah. Have bitcoin for the weekends.	GerberKawasaki	1	0	1520700535	972514649739476992	https://twitter.com/GerberKawasaki/status/972514649739476992				0.33	-0.0513	0.97180647	-1.0
bitcoin 	The article clearly says they will be using Bitcoin	dgwbirch	0	0	1520714818	972574555473629184	https://twitter.com/dgwbirch/status/972574555473629184				0.11	0.4019	0.9730733	-1.0
bitcoin 	Fintech could be bigger than ATMs, PayPal, and Bitcoin combinedhttp://www.businessinsider.com/fintech-ecosystem-financial-technology-research-and-business-opportunities-2016-2 …	robdgill	0	0	1520665687	972368486545707008	https://twitter.com/robdgill/status/972368486545707008				-0.10	0.0	0.9669617	1.0
bitcoin 	# China aims to be a # blockchain leader even if the ban on # bitcoin stayshttps://sc.mp/2I8gIbR	SusanneChishti	14	12	1520683225	972442047792721920	https://twitter.com/SusanneChishti/status/972442047792721920		# # #		0.12	-0.5574	0.95630676	1.0
bitcoin litecoin 	If you trade more than Bitcoin, LiteCoin and Ether against USD then answer is no.	PeterLBrandt	2	0	1520714199	972571959450980352	https://twitter.com/PeterLBrandt/status/972571959450980352				0.20	-0.296	0.9734524	1.0
bitcoin ethereum 	My new crypto name to subscribers up 300% in four weeks ... I think there is another 250%-500% upside by the end of April ... $ BTC $ ETH $ LTC # ethereum # bitcoin # blockchain # crypto / sign up at http://www.standpointresearch.com  ... # jamiedimon # paulkrugman ... buy and hold ... add on dips.pic.twitter.com/rKq5Kelz9v	RonnieMoas	54	11	1520648242	972295315264024576	https://twitter.com/RonnieMoas/status/972295315264024576		# # # # # #		0.35	0.0	0.97338945	1.0
bitcoin 	When someone claims they've solved all of the problems faced by Bitcoin and you should invest in their ICO.pic.twitter.com/vz3vXtChLM	lopp	458	85	1520698617	972506604275949571	https://twitter.com/lopp/status/972506604275949571				0.11	-0.1531	0.97178924	1.0
bitcoin 	There seems to be a correlation between high # Bitcoin withdrawal fees and how shady an exchange is.	WhalePanda	407	79	1520680764	972431723102461952	https://twitter.com/WhalePanda/status/972431723102461952		#		0.11	0.0258	0.9643466	1.0
bitcoin 	7/ And so while I agree # bitcoin’s supply (disinflationary going on deflationary) is constructed for it to be an amazing store of value, that will likely be at the expense of its use as a medium of exchange.	cburniske	66	20	1520697214	972500719663177728	https://twitter.com/cburniske/status/972500719663177728		#		0.33	0.8393	0.9599066	-1.0
bitcoin 	6/ Such a lack of price stability mechanism is a long term argument against # bitcoin’s viability as a medium of exchange.	cburniske	33	10	1520697160	972500493162315777	https://twitter.com/cburniske/status/972500493162315777		#		0.18	-0.5859	0.9598408	-1.0
