currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin litecoin 	It's been a while since I've been to a Silicon Valley Bitcoin meetup. Abra's VP of Engineering will be there tonight to talk about how they are using bitcoin/litecoin smart contracts to do their currency trading/hedging. I will be there!https://twitter.com/AbraGlobal/status/998976662397169664 …	SatoshiLite	746	187	1527022222	999029725933678593	https://twitter.com/SatoshiLite/status/999029725933678593				0.12	0.1005	0.957182	1.0
bitcoin litecoin 	To celebrate # BitcoinPizzaDay, I'm going to get some pizza for lunch. If you are in the area, come join me at noon at one of the best pizza places in the SF bay area. https://www.yelp.com/map/a-slice-of-new-york-sunnyvale … They don't accept Bitcoin or Litecoin yet, but be sure to ask them! # PayWithLitecoin	SatoshiLite	578	63	1527014359	998996745315991552	https://twitter.com/SatoshiLite/status/998996745315991552		# #		0.33	0.4286	0.9666069	1.0
bitcoin 	8 years ago today, Laszlo Hanyecz paid 10,000 BTC for 2 pizzas. Today, you can throw an office pizza party for 10,000 bits. ($80) That's over 1,000,000x increase in 8 years! Thanks Laszlo for your sacrifice, which helped kickstart Bitcoin adoption worldwide. # BitcoinPizzaDaypic.twitter.com/vTHZon3KX4	SatoshiLite	4970	1963	1527007327	998967252933263360	https://twitter.com/SatoshiLite/status/998967252933263360		#		0.27	0.2445	0.96609634	-1.0
bitcoin 	Bitcoin Q&A: Genesis block and coinbase transactionshttps://youtu.be/strhfzJ56QE	aantonop	164	92	1527015904	999003225385852929	https://twitter.com/aantonop/status/999003225385852929				0.00	-0.4404	0.95854723	-1.0
bitcoin 	Wow yeah. I should have mentioned this in my 2018 outlook, in the section about a possible shakeout year. My mind was on exchanges and ICO treasuries. The security of the coins themselves is a huge additional attack surface!https://www.scribd.com/document/373447111/Bitcoin-Cryptocurrency-Markets-Last-Year-in-Review-And-Outlook-for-2018 …	TuurDemeester	21	1	1527024134	999037746638450688	https://twitter.com/TuurDemeester/status/999037746638450688				0.13	0.1702	0.9725868	-1.0
bitcoin 	"Lessons from a failed ""Better Bitcoin"":https://twitter.com/nic__carter/status/998982730674266112 …"	TuurDemeester	97	17	1527018306	999013303476260870	https://twitter.com/TuurDemeester/status/999013303476260870				-0.17	-0.1027	0.9720166	1.0
bitcoin 	On another note, one could argue that DAA may have to be age-weighted (e.g. a long term holder moving coins may be more significant than a darknet market buyer tx). @ UnchainedCap recently published research on address age:https://blog.unchained-capital.com/bitcoin-data-science-pt-1-hodl-waves-7f3501d53f63 …	TuurDemeester	40	13	1527010290	998979681562087425	https://twitter.com/TuurDemeester/status/998979681562087425			@	0.18	-0.0228	0.9707173	-1.0
bitcoin 	"To illustrate: one could compare the Bitcoin blockchain settlement layer with the LBMA (consortium for wholesale gold transactions in London). Looking solely at those ""daily active gold accounts"", gold would be given a very low Network Value.https://twitter.com/TuurDemeester/status/830198580451430400 …"	TuurDemeester	13	1	1527009685	998977141420290049	https://twitter.com/TuurDemeester/status/998977141420290049				-0.11	0.1512	0.9819896	-1.0
bitcoin 	There are a few things you never talk about in public; You never talk about religion, You never talk about Donald Trump, And you never, ever, ever talk about Bitcoin Cash...	cryptomanran	490	62	1526956576	998754387735580672	https://twitter.com/cryptomanran/status/998754387735580672				0.13	0.0	0.9701756	-1.0
bitcoin 	Backstory: @ mindstatex was shamed the other day for wearing a bathing suit while boating/jet skiing with friends. She was with a large group of # BitcoinCash supporters and the women who had the nerve to wear bathing suits were labeled prostitutes (on Twitter) by outsiders.https://twitter.com/bchcointweets/status/998801924311961600 …	haydentiff	40	7	1526990827	998898046040793088	https://twitter.com/haydentiff/status/998898046040793088		#	@	-0.09	0.1041	0.96407783	1.0
bitcoin 	New Bitcoin Tech Talk post from PB Alum @ chris_coverdale about Schnorr, BN and Musig:https://bitcointechtalk.com/scaling-bitcoin-schnorr-signatures-abe3b5c275d1 …	jimmysong	132	60	1527004244	998954321663361029	https://twitter.com/jimmysong/status/998954321663361029			@	0.13	0.0	0.96623147	-1.0
bitcoin 	I've been thinking a lot about this. Anything free has this problem and it's the reason why r/bitcoin and bitcointalk and others have gotten pretty bad. I don't think you need crypto incentives, you just need good incentives period.	jimmysong	18	1	1526949946	998726579638489089	https://twitter.com/jimmysong/status/998726579638489089				0.10	0.2784	0.97314996	-1.0
bitcoin 	If you're interested in sponsoring more developers getting into the Bitcoin space, I can train them. My website is here: http://programmingblockchain.com	jimmysong	24	2	1526942587	998695714132840448	https://twitter.com/jimmysong/status/998695714132840448				0.19	0.2009	0.97569865	-1.0
bitcoin 	Debunking $5 Trillion Vanguard’s Illogical Arguements of Bitcoin Price Going to Zero https://www.ccn.com/debunking-5-trillion-vanguards-illogical-arguements-of-bitcoin-price-going-to-zero/ … via @ cryptocoinsnews	thomaspower	0	0	1527006863	998965305580904450	https://twitter.com/thomaspower/status/998965305580904450			@	0.38	0.0	0.97318447	-1.0
