currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin 	SEC (rightly) doubts price discovery used to base any of these indexes on is legitimate. A weighted-index of several crypto components —compounds SEC’s stated concerns many times over. https://twitter.com/gigabitcoin/status/972960532972974080 …	maxkeiser	32	21	1520807239	972962199261138944	https://twitter.com/maxkeiser/status/972962199261138944				0.41	-0.0987	0.98117197	-1.0
bitcoin 	. @ CNBC and @ infowars got played by Bitcoin Cash. This is not about Roger, this is about @ CNBCFastMoney showing their true colors as irresponsible jackasses. @ RealAlexJonespic.twitter.com/4h6owZvwiG	maxkeiser	176	51	1520782244	972857363186307072	https://twitter.com/maxkeiser/status/972857363186307072			@ @ @ @	0.27	-0.0649	0.9674932	-1.0
bitcoin 	# Bitcoin oversold?https://www.forbes.com/sites/chuckjones/2018/03/10/the-bitcoin-misery-index-bmi-is-flashing-a-buy-signal/ …	maxkeiser	410	178	1520735014	972659265453412352	https://twitter.com/maxkeiser/status/972659265453412352		#		0.33	0.0	0.9612614	-1.0
bitcoin 	Bitcoin, une technologique numérique qui met le bazar sur le marché de l'électricitéhttps://www.nytimes.com/2018/02/28/business/economy/bitcoin-electricity-productivity.html?rref=collection%2Fsectioncollection%2Ftechnology&action=click&contentCollection=technology&region=stream&module=stream_unit&version=latest&contentPlacement=1&pgtype=sectionfront …	babgi	17	23	1520779174	972844485502799872	https://twitter.com/babgi/status/972844485502799872				0.00	0.0	0.9799637	-1.0
bitcoin 	Only affects Bitcoin private. Same if you hardfork and don't enforce p2sh.	SatoshiLite	5	2	1520731771	972645663862345728	https://twitter.com/SatoshiLite/status/972645663862345728				0.00	0.0	0.94000286	1.0
bitcoin 	Really.... It's the only universal currency we have. We all know that. Bitcoin is a great store of value but for utility it is utter shit. No-one in the crypto world can deny it.	officialmcafee	46	8	1520731320	972643772587741184	https://twitter.com/officialmcafee/status/972643772587741184				0.53	-0.1464	0.969368	1.0
bitcoin 	Bitcoin Q&A: Reflections on the last five yearshttps://youtu.be/NoCi64uaFT0	aantonop	310	110	1520778622	972842170800640007	https://twitter.com/aantonop/status/972842170800640007				-0.25	0.0	0.9537736	-1.0
bitcoin ethereum 	Bitcoin and Ethereum were arguably more decentralized in their infancy, as large pool entities did not exist. So nope.	ummjackson	0	0	1520808222	972966323289341952	https://twitter.com/ummjackson/status/972966323289341952				-0.11	-0.125	0.97034734	-1.0
bitcoin 	Example: it's really easy to say that 3 entities (incl. pools) control > 50% of the PoW hash rate for Bitcoin. What's a fair way to compare that to a system such as Steem, Lisk etc?	ummjackson	5	1	1520732156	972647278946131968	https://twitter.com/ummjackson/status/972647278946131968				0.17	0.2703	0.96901447	-1.0
bitcoin 	Square’s stock is skyrocketing as it embraces bitcoin and breaks into banking https://qz.com/1224514  via @ qz	ErikVoorhees	827	329	1520738017	972671859618586625	https://twitter.com/ErikVoorhees/status/972671859618586625			@	0.19	0.0	0.96895915	-1.0
bitcoin 	Yeah it did. See “Finding Equilibrium : Searching for the true value of a Bitcoin” by @ VinnyLingham https://vinnylingham.com/finding-equilibrium-searching-for-the-true-value-of-a-bitcoin-ba5f3fcce103 …pic.twitter.com/y4K8Vd9Fdn	TuurDemeester	28	8	1520731752	972645582362771456	https://twitter.com/TuurDemeester/status/972645582362771456			@	0.11	0.4665	0.964714	-1.0
bitcoin 	Are they Bitcoin users who don't like Twitter?	haydentiff	1	0	1520762219	972773371116183552	https://twitter.com/haydentiff/status/972773371116183552				0.00	-0.2755	0.95099545	1.0
bitcoin 	Trading in and out of bitcoin (or any altcoins for that matter) seems high stress for lots of short term capital gains and all the associated tax filings.	stacyherbert	92	21	1520787770	972880538515247105	https://twitter.com/stacyherbert/status/972880538515247105				0.04	-0.1027	0.9775219	-1.0
bitcoin 	PR: It’s Time to Give Back! New Nauticus ICO Program to Help Protect Children and the Oceans https://news.bitcoin.com/pr-its-time-to-give-back-new-nauticus-ico-program-to-help-protect-children-and-the-oceans/ … # blockchain # dogoodstuff # charity # ico via @ nauticusen	WarrenWhitlock	2	2	1520774507	972824910438350851	https://twitter.com/WarrenWhitlock/status/972824910438350851		# # # #	@	0.28	0.3982	0.97261524	-1.0
bitcoin 	One Year Ago Bitcoin Surpassed Gold In Value Per Unit... Look At How Things Have Changed! Access the TDV Summit Videos here:https://dollarvigilante.com/summit	DollarVigilante	18	6	1520807586	972963654722351106	https://twitter.com/DollarVigilante/status/972963654722351106				0.14	0.2001	0.97565836	-1.0
