epoch,loss,val_loss
0,0.005680365757231889,0.0005230055894275573
1,0.0025497049382402245,0.0002626872452262929
2,0.0024318246913261963,0.00035460960187830894
3,0.0024302327646327886,0.00031182761776008504
4,0.002463196200715157,0.00037410061490221605
0,0.03480854914878108,3.0079261260201298
1,0.012100865107068919,3.286063149027562
2,0.008580899326963428,3.049595944993333
3,0.0064737901602056344,3.319618170607016
4,0.005558404172489401,2.677076461493802
0,0.00016580705891497483,0.009859838900536618
1,4.8348919714058105e-05,0.005963746591300492
2,3.971470253144163e-05,0.006819929917444853
3,3.460448072527351e-05,0.0036677249877267244
4,3.256283344752276e-05,0.004579058600352728
0,3.281046361213564e-05,0.002760547299596745
1,8.594788413389124e-06,0.002331569808460712
2,7.341557292570499e-06,0.00251538102097022
3,6.5956454511173935e-06,0.002929779134941839
4,6.486001378343216e-06,0.004211483458982451
